;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
204;1;6;3;1;5;1;0;6;3;47;24,15;2,31;101;;9;phường Ngã Tư Sở;;;;;
2555;9;1;2;1;7;1;0;7;5;50;34,74;3,41;184;;10;phường Ô Chợ Dừa;;;;;
2637;3;1;2;1;5;2;0;5;5;56;5,6;10;339;;11;phường Phương Liên;;;;;
208;10;5;3;4;3;1;0;4;4;32,1;9,72;3,38;50;;12;phường Phương Mai;;;;;
209;12;2;3;1;2;1;1;3;2;60;15;3,93;41;;13;phường Quang Trung;;;;;
210;9;7;3;1;3;1;0;5;2;38;17,98;3,45;100;;14;phường Quốc Tử Giám;;;;;
214;8;8;3;1;4;1;1;4;3;49;39,96;3,07;97;;15;phường Thịnh Quang;;;;;
218;10;16;3;4;1;1;0;3;1;32;8;2,34;56;;16;phường Thổ Quan;;;;;
2696;6;8;2;1;7;2;0;8;5;47;40,01;2,3;271;;17;phường Trung Liệt;;;;;
221;1;3;3;1;5;2;0;5;3;61;4,6;13,26;116;;18;phường Trung Phụng;;;;;
224;8;1;3;4;1;1;0;3;1;35;17,43;3,97;75;;19;phường Trung Tự;;;;;
226;8;8;3;1;5;2;0;3;5;30;10,23;3,51;95;;20;phường Văn Chương;;;;;
228;11;7;3;1;5;2;0;4;4;35;8,75;2,41;62;;21;phường Văn Miếu;;;;;
229;7;1;3;1;3;1;0;2;3;23;8;3,23;82;;;;;;;;
232;1;14;3;1;4;1;0;5;4;38;37,15;3,91;101;;;quận Hà Đông;;;;;
2842;6;9;2;1;4;1;0;6;2;60;12;5;122;;1;Phường Biên Giang;;;;;
237;1;11;3;1;1;1;0;2;1;30;13,65;3,68;98;;2;phường Dương Nội;;;;;
239;3;6;1;1;5;2;2;6;3;92;18;5,6;146;;3;phường Đồng Mai;;;;;
245;8;3;3;1;6;2;0;4;4;30;18,63;3,27;91;;4;phường Hà Cầu;;;;;
247;8;8;4;1;3;1;1;3;2;48;26,39;3,72;65;;5;phường Kiến Hưng;;;;;
3059;5;7;2;1;3;1;0;4;2;50;10;2,57;242;;6;phường La Khê;;;;;
254;5;4;3;1;4;1;0;4;4;43;11;3,64;90;;7;phường Mộ Lao;;;;;
256;9;3;3;1;4;1;0;3;3;40;26,84;3,57;97;;8;phường Nguyễn Trãi;;;;;
257;6;12;3;1;3;1;0;3;3;35;33,61;3,12;97;;9;phường Phú La;;;;;
259;1;6;3;1;4;1;0;4;4;85;14,17;6;108;;10;phường Phú Lãm;;;;;
260;5;6;3;1;4;1;0;4;2;56;15;3,79;81;;11;phường Phú Lương;;;;;
265;7;3;3;1;5;2;0;3;3;25;11,44;3,58;82;;12;phường Phúc La;;;;;
266;4;12;3;1;5;2;0;3;5;30;7,5;3,51;75;;13;phường Quang Trung;;;;;
268;12;5;3;1;5;1;0;4;4;36;9;3,88;73;;14;phường Vạn Phúc;;;;;
272;9;2;3;1;5;2;0;6;5;35;24,42;3,63;100;;15;phường Văn Quán;;;;;
276;3;7;3;1;1;1;0;3;1;44;6,29;7;56;;16;phường Yên Nghĩa;;;;;
278;3;1;3;1;5;1;0;4;3;44;12;3,97;154;;17;phường Yết Kiêu;;;;;
279;10;14;3;1;5;1;0;3;4;30;10;3,84;95;;;;;;;;
280;4;12;3;1;5;2;0;4;3;37;9;2,86;67;;;quận Hai Bà Trưng;;;;;
284;12;3;3;1;6;2;1;10;5;56;9;6;130;;1;Phường Bạch Đằng;;;;;
286;3;1;3;4;3;1;0;4;4;42;15,99;3,8;154;;2;phường Bách Khoa;;;;;
3132;10;13;2;4;1;1;1;2;1;100;18;5,5;150;;3;phường Bạch Mai;;;;;
297;6;8;3;1;5;2;0;3;3;30;7;3,54;71;;4;phường Bùi Thị Xuân;;;;;
300;7;6;3;1;1;1;0;2;1;40;28,38;2,7;65;;5;phường Cầu Dền;;;;;
3320;6;10;2;1;4;1;0;4;2;100;53,34;3,35;220;;6;phường Minh Khai;;;;;
304;10;16;3;4;2;1;0;3;2;32;8;3,51;43;;7;phường Đồng Nhân;;;;;
305;6;8;3;1;3;1;0;2;2;24;6;3,65;93;;8;phường Đồng Tâm;;;;;
307;1;7;3;1;3;1;0;2;4;31;17,85;3,02;100;;9;phường Lê Đại Hành;;;;;
308;10;11;3;4;5;1;0;4;3;41;10;3,62;51;;10;phường Đống Mác;;;;;
3690;4;9;2;1;4;1;0;4;3;131;20;6,5;60;;11;phường Ngô Thì Nhậm;;;;;
311;11;12;3;1;5;1;0;3;4;30;9,38;3,96;90;;12;phường Nguyễn Du;;;;;
312;10;16;3;4;4;1;0;4;2;36;9;3,27;52;;13;phường Phạm Đình Hổ;;;;;
313;8;9;3;1;5;2;0;4;3;48;12;3,06;56;;14;phường Phố Huế;;;;;
314;10;13;3;4;2;1;0;3;3;32;8;3,6;53;;15;phường Quỳnh Lôi;;;;;
317;10;11;3;4;2;1;0;3;2;32;8;3,44;48;;16;phường Quỳnh Mai;;;;;
318;9;2;3;1;2;1;0;3;2;20;18,48;3,92;77;;17;phường Thanh Lương;;;;;
320;1;11;3;1;5;1;0;3;5;26;13,66;3,95;113;;18;phường Thanh Nhàn;;;;;
321;19;12;3;1;3;1;0;2;4;33;9;3,28;46;;19;phường Trương Định;;;;;
3753;4;13;2;1;4;1;1;3;4;50;12;3,88;100;;20;phường Vĩnh Tuy;;;;;
324;3;3;3;1;4;1;0;4;3;77;11;7;97;;;;;;;;
325;10;15;3;1;1;1;0;1;1;55;10;6;39;;;quận Hoàn Kiếm;;;;;
326;8;6;3;4;2;1;0;3;4;30;21,23;3,25;83;;1;Phường Cửa Đông;;;;;
329;4;12;3;1;4;1;0;3;4;35;10;3,76;68;;2;phường Cửa Nam;;;;;
3764;6;8;2;1;4;1;0;2;4;30;12,13;3,99;117;;3;phường Chương Dương;;;;;
332;7;18;3;1;4;1;0;4;2;55;10;6;160;;4;phường Đồng Xuân;;;;;
333;6;4;3;1;4;1;0;3;2;35;7;3,99;85;;5;phường Hàng Bạc;;;;;
334;10;16;3;1;2;1;0;2;4;30;8;3,97;40;;6;phường Hàng Bài;;;;;
335;10;2;3;1;3;1;0;2;4;30;8;2,35;40;;7;phường Hàng Bồ;;;;;
