;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
77673;10;13;2;4;3;1;1;6;3;42;11;3,1;76;;;;;;;;
77675;9;4;2;1;5;2;1;5;5;60;58,81;3,87;183;;;;;;;;
52194;12;4;3;1;5;1;0;4;3;71;19;2,61;63;;;;;;;;
52196;4;7;3;1;4;1;0;4;3;35;17,97;3,37;57;;;;;;;;
77679;5;8;2;1;5;2;0;6;5;42;5,25;8;88;;;;;;;;
52199;5;2;3;1;5;2;1;6;4;70;17;3,58;128;;;;;;;;
52200;10;6;3;1;4;1;0;3;3;32;11,54;2,27;81;;;;;;;;
52201;9;3;3;1;4;1;1;3;3;60;10;6;55;;;;;;;;
52202;1;14;3;4;5;2;0;6;4;44;35,85;3,54;130;;;;;;;;
77702;6;3;2;1;3;1;0;3;2;35;24,75;3,96;82;;;;;;;;
52207;7;6;3;1;2;1;0;3;3;20;7;3,06;77;;;;;;;;
77831;4;1;2;1;8;2;1;10;6;85;19;3,49;123;;;;;;;;
77908;5;3;2;1;7;1;1;5;6;45;12;2,53;160;;;;;;;;
78006;4;2;2;4;4;1;1;5;4;100;20;5;56;;;;;;;;
52212;11;12;3;1;5;2;0;3;5;35;8,75;3,96;90;;;;;;;;
52213;10;4;4;4;2;1;0;3;4;35;32,45;3,23;88;;;;;;;;
52214;10;12;4;1;5;2;0;6;5;50;40,93;3,74;97;;;;;;;;
78054;5;8;2;1;5;2;0;5;5;40;17,26;3,77;162;;;;;;;;
78062;6;10;2;1;5;1;1;4;5;50;24,75;2,35;152;;;;;;;;
52220;6;10;3;4;2;1;1;3;4;61;12,2;5;48;;;;;;;;
52222;1;14;3;1;4;1;1;5;2;50;24,23;3,3;111;;;;;;;;
52223;6;9;3;1;6;2;0;6;4;43;12;3,96;79;;;;;;;;
52224;4;7;3;4;1;1;0;2;1;33;21,02;3,31;53;;;;;;;;
78087;6;7;2;1;5;2;0;4;4;40;10;3,24;175;;;;;;;;
78298;28;14;2;1;3;1;1;3;2;52;5,91;8,8;130;;;;;;;;
52233;1;3;3;1;2;1;0;2;4;15;8,22;3,57;106;;;;;;;;
52235;12;6;3;4;2;1;0;3;4;30;10;2,4;83;;;;;;;;
52236;7;18;3;1;4;1;0;4;4;42;24,48;3,71;273;;;;;;;;
52237;7;18;3;4;2;1;0;2;4;23;9,64;3,32;84;;;;;;;;
52238;7;18;3;1;4;1;0;4;4;77;12,83;6;192;;;;;;;;
52240;12;4;3;1;6;1;0;10;5;69;17;3,95;93;;;;;;;;
78528;10;15;2;1;4;1;0;4;2;65;50,18;2,4;100;;;;;;;;
52242;8;5;3;1;3;1;1;3;4;97;12;7;100;;;;;;;;
78543;10;15;2;1;4;1;0;4;4;51;17,32;3,58;247;;;;;;;;
78883;8;3;2;1;1;1;1;1;1;75;10;7;136;;;;;;;;
79039;18;13;2;1;2;1;0;2;3;120;22;5;58;;;;;;;;
52247;7;18;3;1;5;1;0;6;5;40;15,26;3,23;77;;;;;;;;
52250;8;7;3;4;5;1;0;4;5;39;22,46;2,84;65;;;;;;;;
79192;9;1;2;1;9;1;1;4;7;73;12;6;271;;;;;;;;
52252;10;6;3;1;1;1;0;2;1;30;7;3,64;78;;;;;;;;
52253;6;14;3;1;1;1;0;2;1;20;3;7;72;;;;;;;;
52254;5;4;3;1;4;1;0;4;3;52;10;3,54;63;;;;;;;;
79208;5;7;2;1;5;2;1;5;3;65;13;5;161;;;;;;;;
52256;7;18;3;4;4;1;1;6;3;60;8,57;7;108;;;;;;;;
52257;9;3;3;1;4;1;1;2;2;55;34,78;3,76;50;;;;;;;;
52258;6;14;3;1;2;1;0;3;2;51;13;3,11;127;;;;;;;;
52259;6;7;3;1;4;1;0;4;3;40;34,41;3,6;87;;;;;;;;
52260;28;11;3;4;3;1;0;4;3;36;9;3,37;68;;;;;;;;
52261;6;3;3;1;4;1;0;4;4;45;10;3,85;124;;;;;;;;
79340;8;8;2;1;1;1;0;3;1;61;25,01;3,67;139;;;;;;;;
79361;4;3;2;1;3;1;1;5;4;51;13;3,95;96;;;;;;;;
52266;5;3;3;2;5;2;1;3;3;54;14;3,14;55;;;;;;;;
52268;8;9;3;1;3;1;0;3;4;55;9,17;6;49;;;;;;;;
52271;9;4;3;4;1;1;0;3;1;30;7;2,48;93;;;;;;;;
79620;10;17;2;1;5;1;0;4;3;42;15,34;3,02;108;;;;;;;;
52276;12;3;3;1;4;1;1;4;2;90;18;5;41;;;;;;;;
52278;4;12;3;4;1;1;0;2;1;34;8;3,35;51;;;;;;;;
79708;9;5;2;1;5;2;1;3;4;50;28,88;3,85;146;;;;;;;;
52284;4;12;3;4;1;1;0;3;1;33;9;3,99;53;;;;;;;;
79816;8;3;2;1;3;1;1;4;3;120;24;5;100;;;;;;;;
79825;9;9;2;1;5;2;1;4;3;45;12;45;174;;;;;;;;
52292;6;7;3;1;4;1;1;4;3;52;21,23;3,99;76;;;;;;;;
52293;3;7;3;4;1;1;0;3;1;30;5;6;143;;;;;;;;
80004;6;9;2;1;8;1;0;10;8;50;24,29;3,74;220;;;;;;;;
80046;1;12;2;1;2;1;1;2;4;66;41,8;3,63;351;;;;;;;;
52297;1;6;3;1;1;1;0;3;1;45;41,22;3,96;166;;;;;;;;
52299;3;4;3;1;4;1;0;4;3;68;6;10;170;;;;;;;;
52301;1;6;3;1;5;2;0;6;5;45;16,54;3,69;122;;;;;;;;
80158;6;12;2;4;6;2;0;6;4;42;10;3,75;257;;;;;;;;
52303;5;3;3;1;1;1;0;2;1;31;8;3,81;66;;;;;;;;
52304;5;4;3;1;3;1;0;4;4;40;18,69;3,91;95;;;;;;;;
52309;6;7;4;1;5;2;0;4;5;42;35,82;3,66;166;;;;;;;;
80226;7;4;2;1;1;1;1;3;1;73;12;6;156;;;;;;;;
52316;1;5;3;1;5;1;0;3;3;31;9;3,59;91;;;;;;;;
52321;10;5;3;4;6;2;0;4;6;40;23,67;3,8;80;;;;;;;;
80260;6;17;2;4;5;1;0;5;3;90;11;8;383;;;;;;;;
80274;10;10;2;1;4;1;0;3;3;33;8;2,41;65;;;;;;;;
52324;28;10;3;1;6;2;0;6;6;38;12;35;65;;;;;;;;
52326;28;10;3;1;5;1;0;6;5;37;11;35;67;;;;;;;;
52327;8;1;3;1;5;1;0;4;4;53;10,19;5,2;103;;;;;;;;
52330;7;3;3;1;1;1;0;2;1;30;6;2,81;100;;;;;;;;
80279;6;8;2;1;6;2;1;4;5;106;16;7;146;;;;;;;;
80284;8;3;2;4;5;2;1;10;5;112;43,71;2,67;187;;;;;;;;
52336;28;11;3;1;4;1;1;5;2;54;13,5;3,1;91;;;;;;;;
52339;7;6;3;4;1;1;0;2;1;27;4,91;5,5;90;;;;;;;;
52341;9;6;3;1;5;2;0;3;5;42;10;3,71;85;;;;;;;;
80298;5;3;2;1;6;1;0;10;5;47;4;12;231;;;;;;;;
80338;7;4;2;1;5;1;0;4;3;50;11;48;260;;;;;;;;
52345;4;8;3;1;5;1;0;3;4;35;12,36;3,6;97;;;;;;;;
52348;12;4;3;1;2;1;0;3;4;38;9,5;3,6;69;;;;;;;;
52349;4;13;3;1;1;1;1;2;1;85;12,14;7;14;;;;;;;;
80391;7;6;2;1;4;1;1;4;2;35;9;3,76;162;;;;;;;;
52352;12;8;3;1;2;1;0;1;3;34;11,5;3,56;47;;;;;;;;
52354;9;10;3;1;2;1;0;2;2;50;9,09;5,5;60;;;;;;;;
80500;2;1;2;1;4;1;0;5;3;40;10;3,96;212;;;;;;;;
52359;7;10;3;1;5;1;0;3;5;34;10;2,49;100;;;;;;;;
80601;5;7;2;1;5;2;1;6;4;40;10;3,15;100;;;;;;;;
52365;10;15;3;1;3;1;1;3;4;70;18;3,68;51;;;;;;;;
52367;8;5;3;3;4;1;0;2;2;22;12,45;3,49;63;;;;;;;;
52373;10;15;3;1;6;2;0;4;4;53;13;3,98;103;;;;;;;;
80670;9;4;2;1;2;1;0;2;2;45;10;3,85;122;;;;;;;;
52379;10;6;4;1;5;1;0;4;5;50;13;2,57;120;;;;;;;;
52381;1;1;3;4;1;1;0;2;1;35;28,37;3,1;122;;;;;;;;
52383;4;8;3;1;1;1;0;2;1;39;10;3,81;51;;;;;;;;
52384;1;5;3;4;2;1;0;3;3;20;8,01;2,67;130;;;;;;;;
52386;3;6;3;1;4;1;0;3;3;35;18,62;3,28;94;;;;;;;;
52388;1;9;3;1;3;1;0;3;3;41;14;3,69;84;;;;;;;;
52392;11;2;3;1;3;1;0;4;2;35;8,75;3,84;77;;;;;;;;
80721;5;5;2;1;6;1;0;4;6;36;5;7;183;;;;;;;;
52394;3;1;3;4;3;1;0;6;3;43;11;3,59;86;;;;;;;;
52395;12;5;3;1;5;2;0;6;3;39;6,5;6;107;;;;;;;;
52397;10;4;3;1;6;2;0;4;6;36;5;7;94;;;;;;;;
80763;4;11;2;1;2;1;1;2;3;25;13,66;3,6;120;;;;;;;;
52402;1;11;3;1;4;1;0;2;4;20;18,32;3,67;127;;;;;;;;
80774;6;10;2;1;4;1;0;4;2;35;26,41;3,59;95;;;;;;;;
80902;9;11;2;1;3;1;0;3;3;35;14,11;3,64;188;;;;;;;;
80918;5;4;2;1;3;1;1;4;2;58;26,27;2,65;153;;;;;;;;
52417;8;4;3;1;4;1;1;4;2;70;17;3,51;78;;;;;;;;
52418;4;4;3;1;5;2;1;4;3;55;13;3,27;78;;;;;;;;
52419;6;10;3;1;4;1;0;3;2;42;20,83;3,87;85;;;;;;;;
81002;7;6;2;1;5;2;0;4;4;45;24,18;3,76;104;;;;;;;;
52422;9;6;3;1;4;1;0;4;2;30;30;5;96;;;;;;;;
52423;9;3;3;1;4;1;1;3;3;50;30,65;2,65;70;;;;;;;;
52427;10;16;3;1;3;1;0;3;2;38;34,63;3,01;46;;;;;;;;
52428;7;20;3;1;1;1;1;3;1;49;37,21;3,77;48;;;;;;;;
52430;1;14;3;1;5;1;0;8;5;70;18;3,9;102;;;;;;;;
52431;28;11;3;4;1;1;0;3;1;30;9,5;3,21;81;;;;;;;;
81056;4;9;2;1;4;1;0;5;2;90;18;5;53;;;;;;;;
52434;1;13;3;1;4;1;0;4;2;42;10;2,69;83;;;;;;;;
52435;28;1;3;1;4;1;0;5;4;35;11;3,88;67;;;;;;;;
81063;7;18;2;1;6;2;1;5;5;60;10;6;241;;;;;;;;
52439;9;5;3;1;6;1;0;5;5;40;8;2,24;112;;;;;;;;
52440;9;4;4;1;5;1;1;6;5;50;13;3,85;138;;;;;;;;
52441;8;13;3;4;2;1;0;2;4;22;7;3,92;72;;;;;;;;
81154;9;4;2;1;9;2;0;10;7;85;17;5;465;;;;;;;;
52443;2;3;3;4;1;1;0;1;1;28;15,41;3,73;66;;;;;;;;
52447;9;4;3;1;5;1;0;4;5;45;28,52;2,49;84;;;;;;;;
52448;12;7;3;1;4;1;0;4;2;38;9;3,87;65;;;;;;;;
52449;28;1;3;1;1;1;0;1;1;35;11;2,8;48;;;;;;;;
52450;27;3;3;1;4;1;0;3;4;34;10;3,99;42;;;;;;;;
52452;12;7;3;1;4;1;0;3;3;32;6;2,25;65;;;;;;;;
81188;11;12;2;4;2;1;1;3;4;33;8,68;3,72;103;;;;;;;;
52455;6;3;3;4;2;1;0;3;3;28;6;3,17;101;;;;;;;;
52461;8;6;3;4;4;1;0;4;2;36;6;6;104;;;;;;;;
52462;12;3;3;4;1;1;1;2;1;52;13;3,82;95;;;;;;;;
52463;10;10;3;1;4;1;0;4;4;36;10;2,76;37;;;;;;;;
52464;8;8;3;1;5;2;0;5;4;58;44,27;3,5;71;;;;;;;;
52468;12;4;3;1;5;2;0;3;5;32;9;3,49;78;;;;;;;;
52469;6;18;3;4;3;1;0;4;4;22;7;3,45;161;;;;;;;;
52471;6;11;3;4;6;2;0;6;5;43;13;3,06;139;;;;;;;;
52472;4;6;3;1;1;1;0;3;1;32;12,94;3,72;79;;;;;;;;
52473;8;1;3;1;4;1;0;3;3;35;10;3,86;107;;;;;;;;
52475;6;10;3;4;5;1;0;5;3;42;13;2,99;138;;;;;;;;
52476;6;10;3;4;8;1;0;10;7;62;10,33;6;240;;;;;;;;
52483;6;7;3;4;4;1;1;6;4;52;22,34;3,77;257;;;;;;;;
81197;4;7;2;4;4;1;0;6;2;126;16;8;246;;;;;;;;
52486;1;5;3;4;2;1;0;3;4;25;5;2,67;106;;;;;;;;
81218;10;2;2;4;4;1;0;4;3;35;16,79;3,68;74;;;;;;;;
52491;5;1;3;1;5;1;0;4;5;48;18,19;3,12;163;;;;;;;;
52492;1;5;3;1;2;1;0;3;2;26;7;3,06;100;;;;;;;;
81252;6;6;2;1;4;1;1;5;2;40;10;2,94;175;;;;;;;;
52494;1;3;3;1;4;1;1;3;3;65;12,04;5,4;104;;;;;;;;
81380;1;10;2;1;5;1;0;4;3;30;10;3,88;433;;;;;;;;
52498;4;1;3;4;4;1;0;4;4;38;9;3,62;100;;;;;;;;
52500;4;7;3;1;4;1;0;4;3;64;58,36;3,83;45;;;;;;;;
52501;8;4;3;4;4;1;0;4;4;40;16,85;2,3;77;;;;;;;;
52504;3;7;3;1;4;1;0;4;4;60;15;6;86;;;;;;;;
52505;6;12;3;1;5;1;1;4;5;70;14;5;85;;;;;;;;
52510;8;8;3;4;2;1;0;3;3;52;17,45;3,86;51;;;;;;;;
81528;9;8;2;1;4;1;1;4;4;55;17;5;181;;;;;;;;
81703;6;13;2;1;2;1;1;2;2;25;11,72;3,85;272;;;;;;;;
52518;9;2;3;2;5;1;1;3;3;50;10;3,6;80;;;;;;;;
52520;4;14;3;1;2;1;0;3;2;32;12,24;3,17;75;;;;;;;;
52521;9;6;3;1;3;1;1;4;4;180;8;21;66;;;;;;;;
52523;9;11;3;1;5;1;0;4;4;32;23,22;3,49;87;;;;;;;;
52524;1;6;3;1;5;2;0;4;3;45;10;3,52;166;;;;;;;;
81760;10;6;2;1;1;1;0;1;1;72;10;7,2;96;;;;;;;;
81802;1;14;2;4;6;1;0;4;4;90;11,25;8;177;;;;;;;;
52534;6;3;3;4;8;1;1;10;6;59;9,83;6;142;;;;;;;;
52535;3;2;3;1;6;1;0;3;6;24;16,76;2,45;100;;;;;;;;
52536;9;2;3;1;5;1;0;3;5;30;9;3,72;83;;;;;;;;
81827;12;7;2;1;5;2;0;6;5;41;10;3,69;87;;;;;;;;
52540;7;17;3;4;2;1;0;3;4;23;12,23;2,75;63;;;;;;;;
81830;7;19;2;1;5;1;0;4;3;50;31,73;3,66;101;;;;;;;;
52543;9;1;3;1;5;2;0;3;4;34;10;3,7;73;;;;;;;;
52545;9;3;3;1;5;2;0;4;4;31;10,85;3,45;87;;;;;;;;
82077;7;17;2;4;5;2;0;6;3;59;14;2,65;149;;;;;;;;
82197;4;4;2;1;1;1;1;2;1;45;19,69;2,45;208;;;;;;;;
52552;1;11;3;1;5;2;0;6;3;55;23,46;3,75;216;;;;;;;;
52553;8;6;3;1;4;1;0;4;3;35;12;2,98;64;;;;;;;;
82218;12;9;2;1;1;1;0;1;1;66;14;3,79;68;;;;;;;;
52558;9;9;3;1;5;2;1;4;5;50;13;3,47;60;;;;;;;;
52559;11;2;3;1;4;1;0;4;2;48;11,43;3,52;62;;;;;;;;
52563;12;5;3;1;5;2;0;5;5;43;10;3,4;81;;;;;;;;
52565;9;2;3;1;6;1;0;4;6;51;8,36;6,1;186;;;;;;;;
82286;7;16;2;1;3;1;1;3;2;48;40,73;3,17;166;;;;;;;;
52568;3;6;3;1;6;2;1;4;4;76;15,2;5;69;;;;;;;;
52572;28;14;3;1;4;1;0;4;4;35;8,75;3,55;68;;;;;;;;
52573;6;7;3;4;5;2;1;4;5;50;21,63;3,76;142;;;;;;;;
52575;5;7;3;1;5;1;0;5;4;50;10;2,54;130;;;;;;;;
52579;6;10;4;1;4;1;1;4;3;56;14;2,26;108;;;;;;;;
52581;8;1;3;1;4;1;1;4;4;55;12;3,81;76;;;;;;;;
52582;8;2;4;1;5;2;1;4;3;48;11;3,54;141;;;;;;;;
52584;5;6;3;1;6;2;0;3;4;24;6;3,49;124;;;;;;;;
52585;3;6;3;1;5;2;1;4;5;57;13;3,34;87;;;;;;;;
52586;12;9;3;1;5;2;0;4;4;26;8,67;3,61;96;;;;;;;;
82289;6;9;2;1;5;1;1;4;5;90;20;3,86;200;;;;;;;;
52592;10;13;3;1;5;2;0;3;3;41;10;2,85;113;;;;;;;;
52594;12;1;3;1;5;1;0;8;4;60;12;5;65;;;;;;;;
52596;3;7;1;4;6;2;2;4;4;179;17,9;10;127;;;;;;;;
82305;1;2;2;1;6;1;0;4;6;120;15;8;383;;;;;;;;
52600;4;6;3;1;5;1;0;4;3;32;15,9;3,26;65;;;;;;;;
52601;9;5;3;1;2;1;0;2;2;67;14;2,85;46;;;;;;;;
52603;10;16;3;1;2;1;0;3;3;47;12;3,75;28;;;;;;;;
52604;8;11;3;1;2;1;0;3;3;28;8;2,84;100;;;;;;;;
52606;9;3;3;1;3;1;0;5;2;45;37,8;3,85;73;;;;;;;;
52608;4;12;3;4;1;1;0;3;1;44;11;3,54;43;;;;;;;;
52609;9;2;3;1;5;2;0;3;5;42;10;3,91;85;;;;;;;;
52612;12;4;3;4;3;1;0;4;3;42;10;3,36;83;;;;;;;;
82315;6;9;2;1;4;1;0;4;3;50;13;3,7;150;;;;;;;;
35;12;4;2;1;2;1;0;3;2;46;9;3,67;80;;;;;27;Huyện Thanh Oai;;
52616;8;13;3;1;4;1;0;2;4;24;7;2,84;66;;;;;;;;
52617;8;8;3;4;2;1;0;3;4;42;10;3,66;61;;;;;;;;
52619;7;8;3;1;6;2;0;4;6;48;9;3,35;100;;;;;;;;
52620;19;12;3;1;4;1;0;3;2;30;6,7;3,24;70;;;;;;;;
52621;28;11;3;1;3;1;0;5;3;35;8,75;3,46;68;;;;;;;;
52623;12;3;3;4;2;1;0;2;2;52;13;3,87;96;;;;;;;;
52624;8;5;3;4;2;1;0;3;4;30;7;2,79;110;;;;;;;;
52628;9;3;3;1;2;1;0;3;3;32;28,62;3;73;;;;;;;;
52630;9;3;3;1;4;1;0;4;3;54;27,06;3,4;92;;;;;;;;
52631;3;3;3;1;5;1;0;5;5;56;12;3,79;95;;;;;;;;
52632;6;5;3;4;5;1;0;4;3;30;25,3;3,94;140;;;;;;;;
52635;9;5;3;1;3;1;0;4;4;62;11,27;5,5;91;;;;;;;;
52638;10;4;3;1;5;1;0;3;4;30;8;3,61;85;;;;;;;;
52640;9;4;4;1;5;2;0;3;3;45;10;3,61;106;;;;;;;;
104;8;5;2;1;3;1;0;3;3;21;7;3,36;100;;9;phường Phúc Đồng;;;;;
52642;5;6;3;4;8;2;0;8;8;60;7;8;116;;;;;;;;
302;4;6;2;1;5;1;1;4;5;46;8;6;100;;9;phường Lê Đại Hành;;;;;
52646;1;1;3;1;4;1;0;3;4;42;7;6;109;;;;;;;;
52648;10;10;3;4;1;1;0;3;1;33;9;3,58;48;;;;;;;;
52651;1;14;3;1;4;1;0;4;2;40;13,7;3,08;96;;;;;;;;
52653;7;9;3;1;4;1;0;5;2;30;8;3,08;78;;;;;;;;
52658;3;1;3;1;5;1;0;6;5;34;11,46;3,83;105;;;;;;;;
323;3;6;2;1;4;1;0;5;3;185;13;13;200;;2;phường Cửa Nam;;;;;
747;9;6;2;4;4;1;0;4;2;45;15,61;3,98;155;;4;xã Khánh Hà;;;;;
750;4;6;2;2;5;2;1;4;3;30;5;6;91;;6;xã Ninh Sở;;;;;
843;1;9;2;1;7;2;0;8;6;50;10,4;3,54;218;;;;;;;;
52667;5;4;3;3;5;2;0;3;4;40;6,67;6;82;;;;;;;;
911;1;3;2;1;5;1;1;3;5;35;29,95;3,84;145;;;;;;;;
925;10;13;2;1;3;1;1;4;4;40;16,36;2,82;97;;;;;;;;
52679;6;8;3;1;4;1;0;2;4;21;6;3,74;169;;;;;;;;
936;8;2;2;1;4;1;1;4;3;39;13,14;3,6;71;;;;;;;;
52682;12;9;3;1;5;1;0;3;4;26;8,67;2,78;96;;;;;;;;
52683;3;7;3;1;6;1;0;6;4;45;35,65;2,93;80;;;;;;;;
52684;9;5;3;1;5;1;0;5;4;45;15,8;3,96;75;;;;;;;;
52687;8;4;3;1;6;2;0;4;6;40;17,6;2,25;77;;;;;;;;
52688;8;4;3;4;3;1;1;5;3;59;11,35;5,2;52;;;;;;;;
52690;1;13;3;4;1;1;1;2;1;175;17,5;10;51;;;;;;;;
52693;9;4;3;4;2;1;0;3;3;32;9;3,44;87;;;;;;;;
52694;3;3;3;1;1;1;0;1;1;35;6,14;5,7;95;;;;;;;;
1013;6;7;2;1;3;1;1;3;4;113;108,79;2,8;141;;;;;;;;
52696;11;12;3;1;3;1;1;6;2;51;12,75;3,05;68;;;;;;;;
1310;9;6;2;1;5;2;1;4;4;50;31,15;3,3;200;;;;;;;;
52700;6;6;3;1;5;1;0;4;5;35;14,38;3,68;145;;;;;;;;
52701;5;2;3;1;5;1;0;4;3;70;14;5;128;;;;;;;;
1432;6;1;2;1;3;1;1;3;2;39;14;3,91;330;;;;;;;;
52707;11;12;3;1;5;2;0;3;4;30;8;3,59;83;;;;;;;;
52710;4;12;3;1;5;1;0;5;5;39;6,5;6;74;;;;;;;;
52711;10;15;4;1;6;1;0;4;5;50;31,46;3,72;86;;;;;;;;
1535;6;17;2;1;4;1;0;5;2;65;28,55;3,82;398;;;;;;;;
52716;6;7;3;1;6;2;0;3;5;50;25,63;3,96;132;;;;;;;;
1541;6;17;2;1;9;1;0;4;7;61;13;3,56;431;;;;;;;;
1569;8;8;2;1;4;1;1;4;4;60;10,91;5,5;91;;;;;;;;
52720;1;7;3;1;7;1;0;6;6;55;9,17;6;143;;;;;;;;
52721;1;3;3;4;4;1;0;5;4;45;43,98;3,99;97;;;;;;;;
52722;9;8;3;1;3;1;0;4;4;54;8;7;120;;;;;;;;
1611;1;5;2;1;4;1;0;4;2;46;9;2,55;108;;;;;;;;
52727;6;2;3;1;5;2;0;3;3;39;33,8;2,84;84;;;;;;;;
1686;8;11;2;1;5;1;1;4;3;35;27,11;3,87;80;;;;;;;;
1704;9;11;2;1;7;1;1;7;5;50;7,14;7;400;;;;;;;;
52732;12;4;3;1;5;2;0;3;5;38;13;3,56;89;;;;;;;;
1877;19;6;2;1;1;1;1;2;1;75;15;5;37;;;;;;;;
52737;6;9;3;1;6;2;0;4;6;33;12,3;3,57;124;;;;;;;;
52740;6;6;3;1;4;1;0;4;3;45;8,65;5,2;82;;;;;;;;
52744;9;5;3;1;6;1;0;3;6;41;37,45;4;121;;;;;;;;
52748;28;11;3;1;4;1;0;4;2;67;14,2;3,58;56;;;;;;;;
1896;6;13;2;1;5;2;1;6;4;67;64,52;2,69;116;;;;;;;;
52750;8;9;3;1;3;1;0;2;4;28;18,86;3,47;82;;;;;;;;
1916;5;2;2;4;5;2;1;5;5;52;9;6;165;;;;;;;;
52756;12;4;3;4;2;1;0;2;2;42;14;3,99;65;;;;;;;;
52757;4;12;3;1;4;1;0;4;4;45;11;3,49;62;;;;;;;;
52764;6;19;3;4;7;1;1;9;7;95;13,57;7;215;;;;;;;;
52766;8;6;3;1;5;2;0;3;5;30;29,9;3,55;76;;;;;;;;
52768;12;4;3;1;2;1;1;2;4;127;31,75;3,89;125;;;;;;;;
52769;9;4;3;4;3;1;0;6;2;55;14;3,47;103;;;;;;;;
52771;1;3;3;1;3;1;0;4;2;82;76,95;3,24;128;;;;;;;;
52778;9;6;3;1;5;1;0;4;3;31;8;2,11;112;;;;;;;;
52782;4;13;3;1;1;1;0;3;1;39;9;3,31;64;;;;;;;;
52783;7;8;3;1;4;1;0;3;2;39;27,45;4;123;;;;;;;;
2309;12;2;2;1;6;2;1;4;6;46;8;6;56;;;;;;;;
2533;9;8;2;1;5;1;1;6;3;65;20;3,34;83;;;;;;;;
2571;10;15;2;4;4;1;0;4;4;50;27,95;3,21;120;;;;;;;;
52796;9;11;3;1;2;1;0;2;3;53;12;3,24;66;;;;;;;;
52805;5;3;3;1;5;1;0;3;4;30;21,46;2,26;156;;;;;;;;
52808;8;3;3;1;5;2;0;4;3;30;12;3,28;98;;;;;;;;
52813;9;3;3;1;1;1;0;3;1;55;7,86;7;118;;;;;;;;
52815;11;12;3;4;6;2;0;4;6;35;8,75;2,75;92;;;;;;;;
52816;8;4;3;1;4;1;0;4;3;40;30,51;3,26;77;;;;;;;;
52820;6;6;3;4;5;1;0;4;5;38;13,74;3,81;92;;;;;;;;
52821;10;6;4;1;5;2;0;4;3;83;16,6;5;76;;;;;;;;
52822;7;15;3;4;4;1;0;4;2;40;11;35;82;;;;;;;;
52828;7;18;3;1;5;2;0;3;5;38;14,71;3,3;71;;;;;;;;
52830;5;1;3;4;6;1;0;10;6;45;35,68;3,68;175;;;;;;;;
52836;9;3;3;4;4;1;1;6;2;57;15;3,62;119;;;;;;;;
52840;6;4;3;1;2;1;0;2;4;31;22,74;3,76;74;;;;;;;;
52841;6;17;3;4;4;1;1;6;4;61;45,52;3,98;177;;;;;;;;
52842;9;4;3;1;5;1;0;3;3;25;9,88;2,37;114;;;;;;;;
52843;10;7;4;1;5;2;1;5;4;70;57,22;3,81;170;;;;;;;;
52844;6;5;3;1;5;1;1;6;5;60;12;3,9;126;;;;;;;;
2644;1;6;2;1;4;1;0;6;2;56;5,6;10;339;;;;;;;;
2680;1;14;2;1;1;1;0;2;1;30;6;3,33;243;;;;;;;;
2916;11;1;2;4;2;1;1;3;2;52;11,56;2,83;51;;;;;;;;
52851;12;4;3;4;1;1;0;3;1;40;9;3,31;125;;;;;;;;
52852;1;14;3;1;5;2;0;3;5;70;25,94;2,77;104;;;;;;;;
2920;12;2;2;1;4;1;0;5;3;45;12;3,81;100;;;;;;;;
52864;6;6;3;1;4;1;1;4;4;55;42,09;3,64;103;;;;;;;;
52865;6;13;3;4;1;1;0;3;1;42;25,92;3,77;90;;;;;;;;
52867;11;12;3;1;5;2;0;3;3;32;7,62;2,67;84;;;;;;;;
52872;6;2;3;1;1;1;0;1;1;72;18;3,77;130;;;;;;;;
3083;6;10;2;1;5;1;0;3;3;34;13,18;3,04;98;;;;;;;;
52885;5;4;3;1;5;2;0;3;5;30;19,37;3,33;100;;;;;;;;
52886;6;10;3;1;5;2;0;4;4;45;9;3,19;82;;;;;;;;
52887;8;1;3;4;7;1;0;8;7;45;11;3,98;74;;;;;;;;
52892;6;10;3;1;4;1;0;3;3;43;18,09;3,9;83;;;;;;;;
52902;8;5;3;1;1;1;1;3;1;48;19,7;2,8;56;;;;;;;;
52904;5;6;3;1;7;2;0;6;5;90;10;8;136;;;;;;;;
52907;5;3;3;1;4;1;0;3;4;30;7;2,76;130;;;;;;;;
52911;28;1;3;1;1;1;0;1;1;45;11;3,48;66;;;;;;;;
52912;6;5;3;4;2;1;0;2;3;50;10;3,91;48;;;;;;;;
3445;9;2;2;1;4;1;0;4;2;96;33,92;3,91;64;;;;;;;;
52917;9;7;3;4;2;1;0;3;3;37;29,93;3,35;86;;;;;;;;
52923;6;5;3;4;2;1;1;3;2;53;10;3,35;52;;;;;;;;
52925;6;9;3;4;1;1;0;3;1;43;10;2,59;67;;;;;;;;
52928;11;7;3;1;6;2;1;4;4;52;13;3,8;94;;;;;;;;
52930;6;5;3;1;5;1;0;4;3;30;12,44;3,11;110;;;;;;;;
3680;3;6;2;1;5;2;0;4;4;55;14;3,06;161;;;;;;;;
3685;6;7;2;1;8;2;1;10;6;55;13;3,88;218;;;;;;;;
3775;10;8;2;1;1;1;1;1;1;40;7;6;58;;;;;;;;
52938;1;7;3;1;5;1;0;3;3;30;10;3,66;101;;;;;;;;
