;Quận;Huyện;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Số  ngủ;Diện tích;Dài;Rộng;Giá/m2
47838;Quận Hai Bà Trưng;Phường Trương Định;3;1;4;4;48 m²;NaN;3.5 m;79,17
47839;Quận Bắc Từ Liêm;Phường Phú Diễn;3;1;NaN;2;101 m²;16500 m;6500 m;33,17
47840;Quận Ba Đình;Phường Kim Mã;3;4;NaN;4;30 m²;7 m;47 m;95
47846;Quận Thanh Xuân;Phường Khương Đình;3;1;4;4;45 m²;NaN;3.25 m;66,67
47847;Quận Bắc Từ Liêm;Phường Cổ Nhuế 1;3;4;1;3;50 m²;NaN;5 m;58
47850;Quận Cầu Giấy;Phường Dịch Vọng;3;1;5;6;40 m²;NaN;4 m;92,25
47853;Quận Hai Bà Trưng;Phường Đồng Tâm;3;1;NaN;1;39 m²;13 m;3 m;50
47858;Quận Cầu Giấy;Phường Mai Dịch;3;1;5;4;33 m²;NaN;5 m;139,39
47863;Quận Đống Đa;Phường Quang Trung;3;1;4;2;25 m²;NaN;3.5 m;132
47864;Quận Cầu Giấy;Phường Yên Hoà;1;1;3;4;160 m²;16 m;10 m;184,38
47867;Quận Thanh Xuân;Phường Khương Trung;3;4;NaN;4;28 m²;9 m;33 m;92,86
47869;Quận Hà Đông;Phường Văn Quán;3;1;4;4;32 m²;10 m;3.76 m;68,75
47873;Quận Hoàng Mai;Phường Đại Kim;3;1;NaN;4;25 m²;9 m;3 m;86
47879;Quận Hoàng Mai;Phường Hoàng Văn Thụ;2;1;5;5;69 m²;NaN;4 m;202,9
47883;Huyện Thanh Trì;Xã Tứ Hiệp;3;1;1;2;80 m²;16 m;5 m;21,88
47884;Quận Đống Đa;Phường Khương Thượng;2;4;NaN;4;40 m²;8 m;5.5 m;142,5
47887;Quận Hà Đông;Phường Vạn Phúc;3;1;3;2;35 m²;10 m;3 m;50
47888;Quận Tây Hồ;Phường Yên Phụ;3;1;3;2;42 m²;NaN;4 m;66,67
47894;Quận Thanh Xuân;Phường Khương Trung;3;4;NaN;4;70 m²;13 m;5 m;92,86
47895;Huyện Hoài Đức;Xã Kim Chung;3;1;4;3;35 m²;NaN;4.6 m;64,29
47898;Quận Hoàng Mai;Phường Đại Kim;3;1;4;4;46 m²;14 m;3 m;65,22
47905;Quận Đống Đa;Phường Láng Hạ;3;1;4;4;56 m²;NaN;4 m;68,75
47922;Quận Đống Đa;Phường Trung Liệt;3;1;3;2;37 m²;NaN;3 m;95,95
47923;Quận Long Biên;Phường Ngọc Lâm;2;4;NaN;3;70 m²;15 m;4 m;68,57
47924;Quận Long Biên;Phường Phúc Đồng;3;4;NaN;3;120 m²;20 m;4.5 m;40,83
47925;Quận Tây Hồ;Phường Nhật Tân;2;1;7;7;80 m²;NaN;4 m;425
47926;Quận Thanh Xuân;Phường Khương Mai;3;1;NaN;4;47 m²;11 m;3 m;106,38
47929;Quận Thanh Xuân;Phường Thanh Xuân Nam;3;1;4;4;48 m²;12 m;4 m;62,5
47934;Quận Ba Đình;Phường Đội Cấn;3;1;3;3;42 m²;NaN;4 m;73,81
47939;Quận Đống Đa;Phường Khương Thượng;3;1;5;3;24 m²;NaN;3.2 m;150
47943;Quận Đống Đa;Phường Khâm Thiên;3;4;NaN;2;20 m²;6 m;3.2 m;92,5
47951;Quận Hà Đông;Phường Kiến Hưng;1;2;NaN;5;175 m²;17 m;10 m;28,57
47958;Quận Đống Đa;Phường Khâm Thiên;3;1;4;2;35 m²;9 m;37 m;94,29
47961;Quận Nam Từ Liêm;Phường Mễ Trì;3;1;5;4;35 m²;NaN;3 m;91,43
47964;Quận Hai Bà Trưng;Phường Thanh Nhàn;3;1;4;3;34 m²;7 m;5 m;94,12
47965;Quận Hoàng Mai;Phường Hoàng Văn Thụ;2;1;NaN;1;25 m²;NaN;315 m;180
47968;Quận Ba Đình;Phường Ngọc Hà;3;1;NaN;2;13 m²;NaN;2.5 m;115,38
47969;Quận Đống Đa;Phường Láng Hạ;2;1;5;2;60 m²;NaN;4 m;63,17
47974;Quận Hai Bà Trưng;Phường Minh Khai;3;1;4;3;70 m²;16 m;4 m;42,86
47977;Quận Cầu Giấy;Phường Mai Dịch;3;4;NaN;3;32 m²;8 m;4 m;78,13
47979;Quận Cầu Giấy;Phường Dịch Vọng;4;4;NaN;4;35 m²;10 m;3 m;177,14
47986;Quận Nam Từ Liêm;Phường Mỹ Đình 1;3;4;NaN;3;30 m²;9 m;3.3 m;110
47988;Quận Nam Từ Liêm;Phường Mỹ Đình 1;3;1;5;3;30 m²;9.2 m;3.3 m;110
47989;Quận Long Biên;Phường Long Biên;3;1;6;4;40 m²;10 m;44 m;100
47994;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;4;3;30 m²;5 m;6 m;66,67
47997;Quận Đống Đa;Phường Văn Miếu;3;1;6;6;50 m²;NaN;4 m;242
48006;Quận Hà Đông;Phường La Khê;3;1;4;3;31 m²;10 m;3 m;64,52
48013;Quận Hai Bà Trưng;Phường Thanh Nhàn;3;1;6;5;62 m²;15 m;4 m;133,87
48016;Quận Nam Từ Liêm;Phường Xuân Phương;3;4;NaN;2;35 m²;10 m;3 m;62,86
48018;Quận Đống Đa;Phường Phương Liên;3;1;4;3;41 m²;NaN;4 m;124,39
48020;Quận Hà Đông;Phường Văn Quán;2;1;4;3;36 m²;9 m;4 m;112,5
48022;Quận Tây Hồ;Phường Nhật Tân;3;4;5;4;36 m²;NaN;2.8 m;77,78
48026;Quận Tây Hồ;Phường Xuân La;4;1;5;4;80 m²;16 m;5 m;181,25
48030;Huyện Hoài Đức;Xã Đức Thượng;3;1;1;1;42 m²;7 m;5 m;28,57
48032;Quận Hai Bà Trưng;Phường Bạch Mai;3;1;5;3;33 m²;4 m;4 m;124,24
48035;Quận Thanh Xuân;Phường Khương Mai;3;4;NaN;6;65 m²;18 m;3 m;100
48042;Quận Thanh Xuân;Phường Khương Đình;3;1;5;4;38 m²;NaN;4 m;84,21
48044;Quận Thanh Xuân;Phường Khương Mai;3;1;5;4;30 m²;8 m;4 m;93,33
48053;Quận Nam Từ Liêm;Phường Mỹ Đình 1;3;1;NaN;2;39 m²;NaN;6 m;70,51
48055;Quận Long Biên;Phường Ngọc Thụy;2;1;3;3;75 m²;15 m;5 m;114,67
48057;Quận Thanh Xuân;Phường Thượng Đình;3;1;5;4;12 m²;NaN;3 m;57,5
48059;Quận Hà Đông;Phường Vạn Phúc;3;1;5;6;60 m²;NaN;5 m;83,33
48061;Quận Hà Đông;Phường Yên Nghĩa;3;4;NaN;3;32 m²;NaN;3 m;39,38
48067;Quận Tây Hồ;Phường Xuân La;3;4;NaN;3;32 m²;4 m;9 m;115,63
48068;Quận Hai Bà Trưng;Phường Bạch Mai;3;4;NaN;2;42 m²;11 m;4.3 m;85,71
48075;Quận Đống Đa;Phường Láng Hạ;3;1;5;7;50 m²;NaN;4.5 m;111,58
48078;Quận Long Biên;Phường Phúc Đồng;3;1;5;4;31 m²;NaN;4 m;70
48079;Quận Bắc Từ Liêm;Phường Cổ Nhuế 1;3;1;5;6;48 m²;12 m;4 m;102,08
48080;Quận Cầu Giấy;Phường Yên Hoà;2;1;8;4;158 m²;18 m;9 m;392,41
48084;Quận Hoàng Mai;Phường Hoàng Văn Thụ;3;4;NaN;6;50 m²;NaN;5.5 m;106
48087;Quận Long Biên;Phường Long Biên;3;1;5;3;32 m²;9.76 m;3.3 m;85,94
48102;Quận Hai Bà Trưng;Phường Quỳnh Lôi;2;1;8;5;57 m²;15 m;4 m;214,04
48108;Quận Cầu Giấy;Phường Mai Dịch;2;4;NaN;6;65 m²;NaN;6 m;196,92
48110;Quận Cầu Giấy;Phường Dịch Vọng Hậu;3;1;5;4;60 m²;12 m;5 m;150
48112;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;5;3;32 m²;9.5 m;3.5 m;73,44
48120;Huyện Thanh Trì;Xã Thanh Liệt;3;1;4;3;35 m²;NaN;3.4 m;71,43
48121;Quận Hai Bà Trưng;Phường Bạch Mai;3;4;NaN;3;35 m²;8 m;4 m;78,57
48123;Quận Thanh Xuân;Phường Thượng Đình;3;1;NaN;4;55 m²;NaN;5 m;187,27
48125;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;4;3;35 m²;NaN;3.7 m;71,43
48127;Quận Đống Đa;Phường Ô Chợ Dừa;2;4;NaN;6;50 m²;NaN;4 m;176
48130;Huyện Thanh Oai;Xã Cự Khê;3;4;NaN;3;33 m²;11 m;3 m;50
48131;Quận Hoàng Mai;Phường Tân Mai;3;1;5;3;32 m²;NaN;5 m;68,75
48137;Quận Hà Đông;Phường La Khê;3;1;2;2;30 m²;NaN;3 m;48,33
48140;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;4;3;31 m²;NaN;3.7 m;85,48
48141;Huyện Thanh Trì;Xã Tả Thanh Oai;3;1;4;4;42 m²;NaN;4 m;47,62
48143;Huyện Thanh Trì;Xã Thanh Liệt;3;1;4;4;32 m²;10 m;3.2 m;100
48145;Quận Cầu Giấy;Phường Trung Hoà;2;1;5;4;50 m²;NaN;4 m;153
48149;Huyện Thanh Trì;Xã Tả Thanh Oai;4;4;NaN;6;80 m²;NaN;5 m;71,88
48151;Quận Long Biên;Phường Thượng Thanh;3;1;5;3;30 m²;5 m;6 m;65
48152;Quận Hai Bà Trưng;Phường Bạch Đằng;3;1;NaN;4;92 m²;15 m;6 m;120
48156;Quận Hai Bà Trưng;Phường Bạch Đằng;3;4;NaN;4;70 m²;NaN;4 m;72,86
48163;Quận Hoàng Mai;Phường Vĩnh Hưng;3;1;4;4;38 m²;12 m;3 m;55,26
48167;Quận Ba Đình;Phường Kim Mã;3;1;NaN;3;19 m²;NaN;4.3 m;139,47
48172;Quận Hoàng Mai;Phường Định Công;2;4;NaN;2;102 m²;NaN;7 m;103,92
48174;Quận Hà Đông;Phường Hà Cầu;3;1;4;4;60 m²;15 m;4 m;46,67
48179;Quận Đống Đa;Phường Ô Chợ Dừa;2;1;6;5;42 m²;NaN;3 m;283,31
48180;Quận Nam Từ Liêm;Phường Mỹ Đình 1;3;4;NaN;3;33 m²;NaN;3 m;93,94
48183;Quận Hoàng Mai;Phường Mai Động;3;1;NaN;4;30 m²;NaN;4 m;80
48188;Quận Hai Bà Trưng;Phường Trương Định;3;1;NaN;1;30 m²;NaN;3 m;60
48192;Quận Hoàng Mai;Phường Tân Mai;3;4;NaN;5;45 m²;23 m;3 m;78,89
48196;Quận Hoàng Mai;Phường Lĩnh Nam;3;4;NaN;2;41 m²;NaN;3 m;56,1
48197;Huyện Quốc Oai;Xã Sài Sơn;1;4;NaN;4;280 m²;28 m;7 m;25,71
48198;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;4;4;40 m²;NaN;3 m;77,5
48201;Quận Ba Đình;Phường Trúc Bạch;2;1;9;10;110 m²;NaN;4 m;400
48202;Quận Hoàng Mai;Phường Giáp Bát;2;1;5;5;82 m²;NaN;4 m;140,24
48204;Quận Hai Bà Trưng;Phường Quỳnh Mai;3;4;NaN;2;21 m²;NaN;3 m;97,62
48206;Quận Hoàng Mai;Phường Tương Mai;2;1;1;1;120 m²;16 m;7 m;135
48209;Quận Đống Đa;Phường Trung Liệt;3;1;3;3;40 m²;10 m;4 m;140
48211;Quận Hoàng Mai;Phường Định Công;3;1;4;3;33 m²;NaN;4 m;90,91
48212;Quận Hoàng Mai;Phường Tân Mai;2;1;NaN;5;31 m²;9 m;3 m;216,13
48219;Quận Thanh Xuân;Phường Khương Trung;2;1;4;3;45 m²;NaN;4 m;153,33
48225;Quận Đống Đa;Phường Nam Đồng;3;1;NaN;2;27 m²;9 m;3 m;69,63
48226;Quận Bắc Từ Liêm;Phường Xuân Đỉnh;3;1;5;5;35 m²;9 m;4 m;85,71
48228;Quận Hoàng Mai;Phường Vĩnh Hưng;3;4;NaN;4;32 m²;NaN;4 m;100
48229;Quận Hai Bà Trưng;Phường Minh Khai;3;1;4;5;50 m²;NaN;4 m;100
48230;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;5;6;76 m²;NaN;4 m;85,53
48232;Quận Long Biên;Phường Việt Hưng;3;1;4;3;30 m²;10 m;3 m;93,33
48235;Quận Thanh Xuân;Phường Khương Mai;3;1;4;4;70 m²;14 m;5 m;92,86
48236;Quận Hà Đông;Phường Phú La;2;4;NaN;1;100 m²;20 m;5 m;77
48239;Quận Tây Hồ;Phường Quảng An;4;1;5;4;83 m²;15 m;55 m;162,65
48241;Quận Hai Bà Trưng;Phường Đồng Tâm;3;4;NaN;5;36 m²;7 m;5 m;68,89
48242;Quận Ba Đình;Phường Đội Cấn;3;1;5;3;40 m²;11 m;4 m;62,5
48245;Quận Ba Đình;Phường Cống Vị;3;4;NaN;3;41 m²;NaN;6 m;112,2
48246;Quận Thanh Xuân;Phường Khương Trung;3;1;4;4;60 m²;NaN;7 m;71,67
48249;Quận Hà Đông;Phường Văn Quán;3;1;4;4;35 m²;NaN;3 m;75,71
48252;Quận Cầu Giấy;Phường Dịch Vọng Hậu;2;1;5;4;60 m²;NaN;5 m;250
48253;Quận Cầu Giấy;Phường Trung Hoà;2;1;5;4;135 m²;NaN;6 m;222,22
48254;Quận Thanh Xuân;Phường Thượng Đình;2;1;5;3;30 m²;NaN;4 m;156,67
48255;Quận Đống Đa;Phường Phương Mai;3;1;5;4;68 m²;NaN;5 m;87,5
48259;Quận Long Biên;Phường Gia Thụy;3;4;NaN;4;67 m²;NaN;4 m;71,64
48271;Quận Hai Bà Trưng;Phường Bạch Mai;2;1;5;6;50 m²;10 m;5 m;256
48283;Quận Hà Đông;Phường Kiến Hưng;3;4;NaN;4;35 m²;NaN;4 m;40
48287;Quận Hoàng Mai;Phường Đại Kim;3;4;NaN;4;35 m²;NaN;4 m;75,71
48289;Quận Tây Hồ;Phường Bưởi;3;1;5;3;34 m²;NaN;43 m;100
48292;Quận Đống Đa;Phường Văn Miếu;2;4;NaN;2;30 m²;NaN;5 m;103,33
48293;Quận Đống Đa;Phường Trung Liệt;3;1;4;3;20 m²;NaN;3 m;102,5
48294;Quận Cầu Giấy;Phường Yên Hoà;3;4;NaN;7;52 m²;NaN;5 m;148,08
48295;Quận Đống Đa;Phường Láng Hạ;3;4;NaN;3;35 m²;NaN;4 m;94,29
48296;Quận Nam Từ Liêm;Phường Mỹ Đình 1;4;1;5;5;40 m²;8 m;5 m;157,5
48299;Quận Ba Đình;Phường Kim Mã;3;1;5;3;30 m²;7 m;4 m;103,33
48300;Quận Hoàng Mai;Phường Giáp Bát;3;1;5;5;61 m²;NaN;6 m;59,02
48301;Quận Cầu Giấy;Phường Trung Hoà;2;4;NaN;5;48 m²;12 m;4 m;302,08
48303;Quận Hà Đông;Phường Văn Quán;3;1;NaN;4;57 m²;17 m;3.4 m;84,21
48306;Quận Hai Bà Trưng;Phường Trương Định;3;1;4;4;50 m²;NaN;4 m;66
48308;Quận Thanh Xuân;Phường Thanh Xuân Bắc;3;1;NaN;3;33 m²;NaN;35 m;83,33
48310;Quận Thanh Xuân;Phường Khương Đình;3;1;5;4;34 m²;NaN;3.6 m;91,18
48311;Quận Thanh Xuân;Phường Kim Giang;3;1;NaN;4;50 m²;NaN;4 m;78
48312;Huyện Thanh Trì;Xã Tả Thanh Oai;3;1;NaN;3;35 m²;7 m;5 m;45,71
48314;Quận Hà Đông;Phường Mộ Lao;2;1;3;3;40 m²;9 m;5 m;112,5
48316;Quận Hoàng Mai;Phường Tương Mai;2;1;5;4;55 m²;12.5 m;4.3 m;79,09
48317;Quận Thanh Xuân;Phường Khương Mai;3;4;NaN;4;72 m²;11 m;5.5 m;76,67
48319;Quận Hoàng Mai;Phường Hoàng Văn Thụ;2;1;5;3;40 m²;10 m;4 m;66,25
48321;Quận Hà Đông;Phường Mộ Lao;2;1;4;5;160 m²;18 m;9 m;200
48325;Quận Thanh Xuân;Phường Hạ Đình;2;1;4;4;55 m²;15 m;3.6 m;136,36
48327;Quận Hoàng Mai;Phường Đại Kim;3;1;NaN;6;50 m²;NaN;45 m;80
48329;Huyện Thanh Trì;Xã Đại áng;3;1;2;3;55 m²;NaN;4.5 m;17,64
48332;Quận Ba Đình;Phường Kim Mã;2;1;5;4;36 m²;NaN;3.8 m;138,61
48333;Quận Hai Bà Trưng;Phường Đồng Tâm;2;1;5;4;60 m²;12 m;5 m;250
48334;Quận Hà Đông;Phường Mộ Lao;3;1;3;3;36 m²;NaN;4 m;129,69
48336;Quận Hoàng Mai;Phường Đại Kim;2;1;NaN;3;25 m²;NaN;3 m;84
48340;Quận Long Biên;Phường Ngọc Thụy;3;4;NaN;4;50 m²;10 m;5 m;60
48342;Quận Tây Hồ;Phường Xuân La;1;1;4;6;100 m²;NaN;8 m;95
48348;Quận Thanh Xuân;Phường Khương Đình;3;1;NaN;3;45 m²;NaN;4.5 m;84,44
48350;Quận Tây Hồ;Phường Xuân La;4;1;5;4;47 m²;NaN;5 m;210,64
48353;Quận Đống Đa;Phường Láng Hạ;2;4;NaN;8;150 m²;20 m;8 m;40
48354;Quận Hoàng Mai;Phường Tân Mai;2;4;NaN;2;119 m²;NaN;7 m;136,13
48357;Quận Hoàng Mai;Phường Đại Kim;3;1;5;3;22 m²;7 m;3 m;97,73
48358;Quận Đống Đa;Phường Khương Thượng;3;1;5;4;39 m²;NaN;5 m;79,49
48360;Quận Hai Bà Trưng;Phường Vĩnh Tuy;3;1;NaN;4;41 m²;NaN;4 m;69,51
48363;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;5;3;26 m²;8 m;3.5 m;82,69
48364;Quận Thanh Xuân;Phường Khương Trung;3;1;4;4;73 m²;14 m;5 m;75,34
48369;Quận Bắc Từ Liêm;Phường Xuân Đỉnh;3;1;4;3;52 m²;NaN;3 m;77,88
48370;Quận Hà Đông;Phường Quang Trung;2;1;3;3;99 m²;15 m;6 m;65,66
48373;Quận Thanh Xuân;Phường Khương Đình;3;1;5;4;40 m²;NaN;4 m;113,75
48374;Quận Thanh Xuân;Phường Khương Trung;3;1;NaN;4;43 m²;NaN;4 m;123,26
48375;Quận Hoàng Mai;Phường Định Công;2;1;4;3;22 m²;5 m;4 m;204,55
48377;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;5;5;51 m²;12 m;4 m;101,96
48380;Quận Hai Bà Trưng;Phường Bách Khoa;3;1;NaN;8;50 m²;NaN;4 m;122
48381;Quận Hoàng Mai;Phường Giáp Bát;3;1;NaN;3;50 m²;NaN;4 m;70
48382;Quận Hà Đông;Phường Văn Quán;2;1;4;4;62 m²;NaN;4 m;104,84
48383;Quận Hai Bà Trưng;Phường Đồng Tâm;2;4;NaN;3;50 m²;NaN;5 m;260
48385;Huyện Thanh Trì;Xã Tân Triều;1;1;5;6;100 m²;20 m;5 m;99,9
48386;Quận Ba Đình;Phường Vĩnh Phúc;3;1;2;3;100 m²;11 m;7 m;47,5
48387;Quận Hoàng Mai;Phường Tân Mai;3;1;4;4;42 m²;NaN;4 m;83,33
48390;Quận Hai Bà Trưng;Phường Quỳnh Mai;3;1;NaN;4;50 m²;12 m;4 m;128
48391;Quận Hai Bà Trưng;Phường Cầu Dền;2;1;4;3;30 m²;NaN;3.5 m;83,33
48392;Quận Tây Hồ;Phường Tứ Liên;3;1;4;4;48 m²;NaN;4.6 m;75
48393;Quận Hai Bà Trưng;Phường Trương Định;2;1;5;3;30 m²;NaN;3.5 m;83,33
48395;Quận Cầu Giấy;Phường Yên Hoà;3;1;4;6;60 m²;NaN;4 m;100
48396;Quận Tây Hồ;Phường Tứ Liên;3;1;4;3;38 m²;12 m;3 m;107,89
48397;Quận Long Biên;Phường Long Biên;3;4;NaN;4;70 m²;11.7 m;6 m;127,14
48399;Quận Hai Bà Trưng;Phường Thanh Nhàn;3;1;5;4;45 m²;NaN;5 m;137,78
48401;Quận Thanh Xuân;Phường Khương Đình;2;1;5;4;87 m²;NaN;9 m;183,91
48402;Quận Hoàn Kiếm;Phường Phan Chu Trinh;3;1;7;6;55 m²;13 m;4 m;309,09
48403;Huyện Thanh Trì;Xã Đông Mỹ;3;1;3;4;55 m²;14 m;4 m;47,27
48404;Quận Hà Đông;Phường La Khê;4;1;NaN;5;93 m²;16 m;6 m;139,78
48410;Quận Long Biên;Phường Thạch Bàn;3;1;4;4;38 m²;NaN;4.3 m;71,05
48411;Quận Đống Đa;Phường Hàng Bột;3;1;NaN;2;15 m²;5 m;3 m;83,33
48418;NaN;NaN;3;1;NaN;2;71 m²;6 m;6 m;43
48421;Quận Hai Bà Trưng;Phường Vĩnh Tuy;2;1;5;6;57 m²;NaN;4 m;245,61
48422;Quận Nam Từ Liêm;Phường Mỹ Đình 2;3;4;NaN;5;42 m²;7 m;6.5 m;88,07
48426;Quận Đống Đa;Phường Hàng Bột;3;1;NaN;3;30 m²;8 m;4 m;73,33
48427;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;4;4;46 m²;NaN;4 m;51,09
48428;Quận Bắc Từ Liêm;Phường Xuân Đỉnh;3;1;4;4;39 m²;NaN;3.4 m;82,05
48429;Huyện Đan Phượng;Xã Tân Lập;3;1;5;5;49 m²;12 m;4 m;71,43
48431;Quận Đống Đa;Phường Quốc Tử Giám;3;1;4;3;32 m²;8 m;4 m;75
48432;Quận Đống Đa;Phường Khâm Thiên;3;2;NaN;2;30 m²;8 m;343 m;56,67
48433;Huyện Thanh Trì;Xã Đông Mỹ;3;1;3;3;55 m²;14 m;4 m;45,45
48434;Quận Thanh Xuân;Phường Khương Trung;4;1;5;5;62 m²;NaN;4 m;123,87
48437;Quận Thanh Xuân;Phường Khương Mai;3;1;4;4;65 m²;NaN;4 m;72,31
48443;Quận Thanh Xuân;Phường Nhân Chính;3;4;NaN;4;42 m²;NaN;4 m;73,81
48445;Quận Hà Đông;Phường La Khê;3;1;2;2;30 m²;NaN;3 m;48,33
48448;Quận Cầu Giấy;Phường Nghĩa Tân;3;1;5;6;51 m²;NaN;5 m;135,29
48449;Quận Hai Bà Trưng;Phường Minh Khai;3;1;5;3;41 m²;NaN;4 m;69,51
48456;Quận Cầu Giấy;Phường Nghĩa Đô;3;1;NaN;3;45 m²;NaN;5 m;151,11
48458;Quận Hai Bà Trưng;Phường Thanh Nhàn;3;1;2;3;30 m²;NaN;4 m;90
48463;Huyện Đan Phượng;Thị trấn Phùng;1;1;NaN;6;250 m²;1 m;1 m;27,2
48467;Quận Thanh Xuân;Phường Khương Mai;3;1;4;4;65 m²;NaN;6 m;106,92
48470;Quận Tây Hồ;Phường Phú Thượng;3;4;NaN;2;47 m²;10 m;4 m;62,77
48471;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;NaN;3;38 m²;10 m;4 m;69,74
48472;Quận Đống Đa;Phường Phương Liên;3;1;5;4;31 m²;NaN;4 m;120,97
48474;Quận Ba Đình;Phường Liễu Giai;3;1;NaN;4;56 m²;NaN;5 m;125
48476;Quận Hoàng Mai;Phường Định Công;2;1;4;4;40 m²;11 m;4 m;85
48481;Quận Long Biên;Phường Phúc Đồng;1;4;NaN;4;185 m²;26 m;7 m;81,08
48482;Quận Nam Từ Liêm;Phường Mỹ Đình 1;3;1;NaN;3;52 m²;11 m;5 m;94,23
48483;Quận Đống Đa;Phường Láng Thượng;3;1;5;5;58 m²;NaN;4 m;103,45
48484;Quận Tây Hồ;Phường Bưởi;3;1;NaN;3;40 m²;8 m;6 m;112,5
48485;Quận Đống Đa;Phường Ô Chợ Dừa;2;1;NaN;2;23 m²;NaN;3 m;313,04
48486;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;NaN;3;36 m²;9 m;4 m;83,33
48487;Quận Hà Đông;Phường Phú Lãm;2;4;NaN;3;35 m²;8 m;4 m;62,86
48489;Quận Hai Bà Trưng;Phường Trương Định;3;1;5;6;55 m²;14 m;4 m;112,73
48492;Quận Hà Đông;Phường La Khê;1;4;NaN;6;237 m²;15 m;15 m;135,02
48493;Quận Hai Bà Trưng;Phường Vĩnh Tuy;3;1;NaN;3;35 m²;9 m;4 m;94,29
48494;Quận Hai Bà Trưng;Phường Trương Định;3;1;5;5;58 m²;15 m;4 m;81,03
48495;Quận Thanh Xuân;Phường Kim Giang;2;1;NaN;5;40 m²;10 m;4 m;91,25
48496;Quận Hà Đông;Phường Phúc La;3;4;NaN;5;46 m²;NaN;3 m;97,83
48498;Huyện Thanh Trì;Xã Tân Triều;3;1;1;1;30 m²;7 m;4 m;42,33
48499;Quận Hà Đông;Phường Vạn Phúc;2;1;3;3;60 m²;11 m;4 m;45,83
48501;Quận Hoàng Mai;Phường Vĩnh Hưng;3;1;NaN;3;30 m²;9 m;3 m;55
48502;Quận Hoàng Mai;Phường Tương Mai;2;1;6;5;63 m²;NaN;4 m;222,22
48503;Quận Đống Đa;Phường Nam Đồng;3;1;5;3;34 m²;9 m;4 m;111,76
48506;Quận Hà Đông;Phường La Khê;2;1;5;5;35 m²;NaN;3 m;91,43
48509;Quận Hai Bà Trưng;Phường Đồng Tâm;3;1;4;3;60 m²;15 m;4 m;130
48510;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;4;4;50 m²;14 m;3 m;110
48514;Quận Long Biên;Phường Ngọc Thụy;2;1;5;4;59 m²;10 m;5 m;90,68
48520;Quận Tây Hồ;Phường Phú Thượng;1;1;4;5;108 m²;NaN;8 m;127,78
48523;Quận Đống Đa;Phường Ngã Tư Sở;3;1;NaN;3;24 m²;8 m;3 m;104,17
48528;Quận Tây Hồ;Phường Yên Phụ;3;4;NaN;4;36 m²;15 m;3 m;77,78
48532;Quận Đống Đa;Phường Ô Chợ Dừa;3;4;NaN;3;29 m²;NaN;3 m;75,86
48534;Huyện Thạch Thất;Xã Bình Phú;2;1;NaN;1;134 m²;16 m;9 m;24,63
48536;Quận Hoàng Mai;Phường Lĩnh Nam;3;3;5;2;10 m²;5 m;2 m;38
48537;Quận Thanh Xuân;Phường Nhân Chính;3;4;NaN;6;40 m²;NaN;4 m;105
48539;Quận Ba Đình;Phường Kim Mã;3;1;4;4;45 m²;11 m;4 m;135,56
48542;Quận Cầu Giấy;Phường Dịch Vọng;3;1;5;5;33 m²;8 m;4 m;98,48
48547;Huyện Thanh Trì;Xã Thanh Liệt;3;1;4;5;60 m²;14 m;4 m;71,67
48548;Huyện Thanh Trì;Xã Tả Thanh Oai;3;1;NaN;5;37 m²;8 m;8 m;67,57
48550;Quận Hai Bà Trưng;Phường Bách Khoa;3;1;NaN;4;65 m²;14 m;4 m;120
48552;Quận Đống Đa;Phường Kim Liên;3;4;NaN;6;40 m²;NaN;3 m;95
48553;Quận Đống Đa;Phường Trung Liệt;3;1;6;8;42 m²;8 m;5.5 m;175
48554;Quận Hoàng Mai;Phường Tân Mai;2;1;4;4;60 m²;15 m;4 m;129,82
48555;Quận Đống Đa;Phường Ngã Tư Sở;3;1;5;3;38 m²;11 m;3 m;78,95
48556;Quận Long Biên;Phường Ngọc Thụy;2;1;4;4;43 m²;NaN;4 m;69,77
48558;Quận Hai Bà Trưng;Phường Lê Đại Hành;3;1;NaN;4;38 m²;10 m;4 m;67,11
48560;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;NaN;3;26 m²;9 m;3 m;84,62
48561;Quận Long Biên;Phường Gia Thụy;3;4;NaN;4;54 m²;NaN;3.8 m;79,63
48563;Quận Đống Đa;Phường Văn Miếu;3;1;NaN;3;35 m²;11 m;3.2 m;85,71
48564;Quận Thanh Xuân;Phường Khương Đình;3;1;NaN;4;41 m²;10 m;4 m;103,66
48567;Quận Hà Đông;Phường Văn Quán;3;4;NaN;10;55 m²;11 m;5 m;118,18
48571;Quận Đống Đa;Phường Quốc Tử Giám;3;1;NaN;3;25 m²;8 m;3 m;78
