;Quận;Huyện;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Số  ngủ;Diện tích;Dài;Rộng;Giá/m2
172;Quận Hoàng Mai;Phường Tân Mai;3;1;4;3;48 m²;NaN;4 m;68,75
182;Quận Đống Đa;Phường Trung Phụng;3;4;NaN;3;55 m²;15 m;4 m;54,55
183;Quận Hà Đông;Phường Văn Quán;3;1;4;4;60 m²;15 m;4 m;83,33
186;Quận Hoàng Mai;Phường Hoàng Văn Thụ;3;1;5;3;36 m²;9 m;4 m;76,39
187;Quận Hà Đông;Phường Phú La;3;1;5;4;50 m²;NaN;4.5 m;108
189;Quận Hà Đông;Phường Văn Quán;2;1;2;2;45 m²;13 m;3.4 m;122,22
191;Quận Thanh Xuân;Phường Khương Đình;3;4;NaN;2;35 m²;10 m;3.5 m;82,86
193;Quận Đống Đa;Phường Ô Chợ Dừa;2;1;6;6;60 m²;8 m;8 m;483,33
196;Quận Hoàng Mai;Phường Tương Mai;3;1;3;2;65 m²;NaN;4 m;52,31
201;Huyện Thanh Oai;Xã Cự Khê;3;4;NaN;4;30 m²;8.04 m;3.73 m;51,67
202;Quận Hoàng Mai;Phường Đại Kim;3;4;NaN;5;32 m²;8 m;4 m;85,94
204;Quận Ba Đình;Phường Liễu Giai;3;1;5;6;47 m²;NaN;4.5 m;101,06
206;Quận Bắc Từ Liêm;Phường Phú Diễn;2;1;NaN;2;58 m²;16.57 m;3.5 m;71,55
207;Quận Cầu Giấy;Phường Yên Hoà;2;1;NaN;4;42 m²;4 m;9 m;154,76
208;Quận Hà Đông;Phường Kiến Hưng;3;4;NaN;4;32.1 m²;9.72 m;3.3 m;50
209;Quận Nam Từ Liêm;Phường Đại Mỗ;3;1;NaN;3;60 m²;15 m;4 m;41,67
210;Quận Thanh Xuân;Phường Phương Liệt;3;1;NaN;5;38 m²;NaN;5 m;100
214;Quận Hoàng Mai;Phường Tân Mai;3;1;4;4;49 m²;NaN;4 m;97,96
218;Quận Hà Đông;Phường Yên Nghĩa;3;4;NaN;3;32 m²;8 m;4 m;56,25
219;Quận Hà Đông;Phường Văn Quán;2;1;5;4;37 m²;11 m;3.7 m;116,22
221;Quận Ba Đình;Phường Đội Cấn;3;1;5;5;61 m²;4.6 m;NaN;116,39
224;Quận Hoàng Mai;Phường Đại Kim;3;4;NaN;3;35 m²;NaN;4.5 m;75,71
226;Quận Hoàng Mai;Phường Tân Mai;3;1;5;3;30 m²;NaN;4 m;95
228;Quận Bắc Từ Liêm;Phường Phú Diễn;3;1;5;4;35 m²;NaN;4 m;62,86
229;Quận Hai Bà Trưng;Phường Bạch Đằng;3;1;3;2;23 m²;8 m;3 m;82,61
232;Quận Ba Đình;Phường Ngọc Khánh;3;1;NaN;5;38 m²;NaN;3.8 m;101,32
234;Quận Thanh Xuân;Phường Nhân Chính;2;1;4;4;40 m²;4 m;4 m;140
237;Quận Ba Đình;Phường Thành Công;3;1;NaN;2;30 m²;NaN;3.5 m;98,33
239;Quận Tây Hồ;Phường Thụy Khuê;1;1;5;6;92 m²;18 m;5.6 m;146,74
245;Quận Hoàng Mai;Phường Giáp Bát;3;1;6;4;30 m²;NaN;3 m;91,67
247;Quận Hoàng Mai;Phường Tân Mai;4;1;3;3;48 m²;NaN;4 m;65,63
249;Quận Cầu Giấy;Phường Dịch Vọng;2;1;4;3;47 m²;11.7 m;4 m;102,13
254;Quận Cầu Giấy;Phường Nghĩa Đô;3;1;4;4;43 m²;11 m;4 m;90,7
255;Quận Đống Đa;Phường Phương Mai;2;4;NaN;5;61 m²;NaN;38 m;154,1
256;Quận Thanh Xuân;Phường Khương Đình;3;1;4;3;40 m²;NaN;4 m;97,5
257;Quận Đống Đa;Phường Phương Mai;3;1;3;3;35 m²;NaN;4.1 m;97,14
259;Quận Ba Đình;Phường Liễu Giai;3;1;4;4;85 m²;NaN;6 m;108,24
260;Quận Cầu Giấy;Phường Quan Hoa;3;1;4;4;56 m²;15 m;4 m;81,25
265;Quận Hai Bà Trưng;Phường Bạch Mai;3;1;5;3;25 m²;NaN;4 m;82
266;Quận Long Biên;Phường Thạch Bàn;3;1;5;3;30 m²;7.5 m;4 m;75
268;Quận Nam Từ Liêm;Phường Mỹ Đình 2;3;1;5;4;36 m²;NaN;4 m;73,61
272;Quận Thanh Xuân;Phường Kim Giang;3;1;5;6;35 m²;NaN;3 m;100
276;Quận Tây Hồ;Phường Xuân La;3;1;1;3;44 m²;NaN;7 m;56,82
278;Quận Tây Hồ;Phường Bưởi;3;1;NaN;4;44 m²;12 m;4 m;154,55
279;Quận Hà Đông;Phường Vạn Phúc;3;1;5;3;30 m²;10 m;3.2 m;95
280;Quận Long Biên;Phường Thạch Bàn;3;1;5;4;37 m²;9 m;4 m;67,57
