;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2
341;11;12;2;4;1;1;0;3;1;85;17;5;89,41
343;25;6;2;1;1;1;0;3;1;165;22,6;7,3;49,09
344;6;17;3;1;3;1;0;4;3;31;8;3,52;69,35
345;7;14;3;1;4;1;0;3;3;25;11,9;2,58;120
346;1;5;3;1;3;1;0;2;2;20;16,36;3,65;62,5
347;7;8;3;1;5;1;0;4;3;56;10;6;160,71
348;12;10;3;1;4;1;0;3;4;31;7,5;3,52;66,13
349;6;12;3;1;4;1;1;4;2;63;10;6,3;87,3
352;6;13;3;4;1;1;1;3;1;76;37,58;3,6;60,53
355;5;4;2;4;1;1;1;1;1;80;16;5;32,5
357;7;13;3;4;5;1;0;4;5;36;22,6;3,62;91,11
358;8;2;3;1;4;1;1;4;4;50;28,12;3,82;73
360;10;14;3;4;2;1;0;3;4;30;10,65;2,66;79,67
362;5;2;4;1;5;1;1;6;3;50;15;3,88;210
363;10;9;3;1;5;2;0;4;3;38;14,48;3,57;113,16
364;19;9;3;1;4;1;0;3;3;33;10;33;47,88
365;4;7;3;1;6;2;0;4;5;40;13,74;3,83;100
366;10;14;3;4;3;1;0;4;3;33;21,36;3,73;72,73
369;1;6;1;1;6;1;1;5;6;80;16;5;161,13
371;10;5;3;1;5;2;0;4;3;38;10;3,79;113,16
373;6;7;2;1;5;2;0;5;4;62;16;5;207,9
374;10;14;3;4;3;1;0;4;2;35;31;3,48;77,14
375;10;14;3;4;4;1;0;4;2;30;13,07;3,69;75
376;10;7;2;1;6;2;0;4;4;62;5;6;80,65
377;5;3;3;1;5;2;0;3;4;40;8;3,16;102,5
378;8;5;3;1;4;1;0;4;3;40;15,57;3,14;50
379;4;8;3;1;6;2;0;6;4;65;10,83;6;91,54
381;8;11;2;1;3;1;1;4;4;57;8,14;7;63,16
382;10;5;2;1;5;1;0;3;3;33;13,03;3,68;65,15
383;1;13;3;4;2;1;0;3;4;35;6;6;111,43
389;6;10;3;4;1;1;0;3;1;25;4;3,38;80
395;7;1;2;1;4;1;0;3;2;56;14;3,05;58,93
396;11;3;3;1;4;1;0;5;2;30;5,6;5,5;77,33
397;6;3;3;1;5;2;0;3;4;39;21,67;2,38;120,51
399;5;3;3;1;5;2;0;3;3;44;9,5;3,13;79,55
402;7;3;3;1;4;1;0;3;4;35;12,29;2,64;75,71
411;9;3;3;1;4;1;0;3;4;32;8;3,85;79,69
415;6;17;3;1;5;1;0;3;4;34;8;3,81;111,76
416;9;4;3;1;5;1;1;4;5;49;12,25;3,85;75,51
423;9;4;4;4;5;1;0;6;5;45;10;3,4;103,33
425;6;16;3;1;3;1;0;4;2;40;10;3,81;70
426;8;3;3;4;2;1;0;1;4;42;14,44;3,1;71,43
428;7;1;2;1;3;1;1;6;4;63;21;3,04;111,11
432;8;1;3;4;1;1;0;3;1;37;16,85;3,47;116,22
434;8;11;3;4;1;1;0;3;1;32;5;6;85,94
439;9;6;3;1;2;1;0;2;2;33;15,99;2,55;74,24
449;3;7;3;1;1;1;0;2;1;45;6,43;7;55,56
450;4;1;3;1;5;2;0;4;5;46;18,21;3,77;75
452;19;9;3;1;1;1;0;3;1;33;8,25;3,78;30,3
454;10;2;3;1;3;1;0;3;2;33;21,5;2,33;31,82
456;7;18;3;1;4;1;0;3;2;24;15,57;3,2;77,08
458;8;8;2;1;5;2;1;6;4;67;15;45;111,94
459;9;5;3;4;4;1;1;4;2;50;11;3,81;78
460;4;12;3;1;1;1;0;3;1;35;27,36;3,51;68
462;10;10;3;1;4;1;0;3;2;32;29,91;3,7;53,13
463;10;14;3;1;4;1;0;4;2;33;13,98;2,77;81,82
468;10;1;2;1;3;1;1;4;3;110;15,7;7;31,82
470;8;2;3;1;6;1;0;4;6;35;19,24;3,97;72,86
471;6;10;3;1;5;1;0;3;4;35;16,91;3,96;94,29
472;5;6;2;1;5;2;1;4;4;41;10;3,66;112,2
477;9;3;3;1;5;2;0;3;5;35;9;3,43;95,71
478;10;16;3;1;4;1;0;4;3;35;19,15;2,76;41,43
480;6;2;3;1;2;1;0;1;2;20;11,47;3,59;70
483;10;14;3;1;5;1;0;4;5;31;21,5;3,89;72,26
490;6;10;3;1;5;1;0;3;3;34;9;3,75;97,06
491;6;14;3;1;5;1;0;5;3;42;36,03;3,58;102,38
502;10;16;3;1;4;1;0;4;4;36;21,11;2,86;40,28
504;12;4;1;1;4;1;1;6;3;138;11,5;12;177,54
505;10;16;3;1;4;1;0;4;2;40;7,14;5,6;40,5
507;10;14;3;1;5;2;0;4;4;36;27,69;3,43;69,44
509;1;13;3;1;4;1;0;4;2;80;18;3,57;175
510;10;15;3;1;4;1;0;4;2;43;12;3,55;60,47
511;6;10;3;1;5;2;0;3;3;38;23,88;2,69;88,16
513;10;16;3;1;4;1;0;4;3;35;16,26;3,79;40
515;9;3;3;4;2;1;0;3;4;26;3,71;7;101,92
516;11;2;3;1;4;1;1;4;2;47;11;2,29;63,83
518;4;1;2;1;6;1;1;6;4;44;7;7;161,36
519;4;1;2;1;5;2;1;6;5;44;9;3,74;164,77
523;4;8;3;1;5;2;0;3;5;36;9;2,37;88,89
525;8;2;4;1;4;1;0;4;4;76;16,55;3,81;117,11
529;12;4;3;1;1;1;1;2;1;65;13;5;102
530;10;6;3;1;4;1;0;3;2;33;8;3,62;65,15
536;9;3;3;1;5;1;0;3;3;26;7;3,52;101,92
539;6;4;3;1;4;1;0;3;3;22;4,2;3,18;113,64
541;4;14;3;1;6;1;0;4;5;65;14;5;115,38
544;7;3;3;1;4;1;0;4;2;45;15,56;3,51;64
548;10;16;3;1;4;1;0;3;3;32;27,76;3,36;55,94
549;10;6;3;1;5;1;0;3;3;34;14,13;3,47;67,65
551;10;6;3;1;4;1;0;4;4;31;7;3,78;66,13
552;9;7;3;1;4;1;0;4;2;43;11;3,89;97,67
557;7;6;3;1;4;1;0;3;4;35;14,44;2,8;80
558;10;4;3;4;1;1;1;2;1;58;9;6,5;43,97
560;4;3;2;1;4;1;0;5;4;90;30;3,63;84,44
572;9;4;3;1;5;2;0;3;5;45;16,26;2,34;73,33
576;10;6;3;4;1;1;0;3;1;35;5,56;6,3;62,86
577;18;8;2;1;1;1;1;1;1;86;15;6;37,79
579;7;6;3;1;4;1;0;2;2;35;19,85;3,6;71,43
582;10;6;3;1;5;1;0;3;5;35;9;3,8;65,14
586;6;10;3;1;3;1;0;2;2;22;13,55;2,34;84,09
588;1;6;2;1;6;1;0;5;5;42;7;6;366,67
