;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2
30982;4;12;2;4;5;1;0;4;3;45;11;3,08;59,56
30985;4;6;3;1;5;1;0;3;3;49;22;2,23;91,84
30986;9;3;3;1;4;1;1;4;4;56;30,27;3,97;63,39
30988;11;12;3;1;3;1;0;3;4;51;13;3,8;50,78
30991;5;8;2;1;5;2;1;4;5;50;13;3,94;236
30993;9;5;3;4;2;1;0;3;2;42;14,58;3,63;71,43
30994;28;14;3;1;3;1;0;4;4;43;10,75;2,42;52,33
30997;28;10;1;4;2;1;2;3;3;60;14;3,35;46,67
30998;3;7;1;4;1;1;1;3;1;140;15;9;250
31000;7;20;3;1;2;1;0;3;4;42;17,02;3,62;102,38
31002;7;8;3;4;5;2;0;10;3;63;33,33;3,54;92,06
31003;4;4;3;1;4;1;0;4;3;52;10;52;125
31006;10;5;3;1;6;2;0;4;5;37;10,9;3,97;77,84
31008;7;19;3;4;6;2;1;8;4;46;12;3,85;63,04
31010;12;4;2;1;5;2;0;4;4;52;9;6;76,92
31017;8;2;3;4;4;1;0;4;3;34;13,24;3,6;70,59
31019;8;2;3;1;2;1;0;3;3;37;8;2,83;68,92
31020;8;2;3;1;5;1;0;4;3;35;10;3,76;74,29
31024;9;6;3;1;5;2;0;3;5;40;9;2,57;92,5
31026;4;8;3;1;5;2;0;6;4;42;12;3,14;78,57
31031;10;7;3;1;4;1;0;3;3;100;3;34;27
31036;8;5;2;4;3;1;1;4;2;60;17;3,85;96,67
31037;10;5;2;1;5;2;0;4;5;40;6,35;6,3;83,75
31038;10;14;3;4;1;1;0;3;1;41;22,78;3,13;53,66
31040;11;7;3;4;4;1;0;4;2;41;9;5;109,51
31049;28;14;4;1;4;1;0;6;3;56;12;5;75
31050;1;13;3;1;5;2;0;6;5;33;8;2,08;95,45
31053;1;1;2;1;1;1;0;3;1;40;14;3,97;75
31058;12;8;3;1;1;1;0;3;1;31;4;2,39;62,26
31059;7;6;3;1;4;1;0;4;2;50;27,27;3,86;74
31060;6;9;2;1;5;1;0;4;3;80;13,33;6;118,75
31062;6;2;3;1;4;1;0;2;4;16;14,6;3,91;128,13
31064;6;7;3;1;5;1;0;5;5;45;10;3,32;82,22
31066;8;10;3;4;2;1;0;3;3;30;7;3,9;71,67
31067;3;3;3;1;4;1;0;4;3;64;10,67;6;81,25
31069;10;9;3;1;1;1;0;1;1;32;14,23;3,37;48,13
31070;7;6;3;1;5;2;0;5;4;40;18,18;3,73;72,5
31074;3;6;3;1;4;1;0;4;3;38;23,51;3,1;81,58
31081;9;5;3;1;4;1;0;4;3;45;9;2,73;100
31090;1;7;3;1;5;2;0;6;3;33;8;3,87;96,97
31093;19;2;1;1;4;1;2;6;2;154;18;16;85,71
31095;6;3;2;1;5;1;0;4;5;35;13,32;3,88;237,14
31096;7;13;3;4;1;1;0;3;1;34;11;3,7;100
31099;9;2;3;1;4;1;0;4;4;55;13;3,89;90,91
31102;9;5;3;1;5;1;0;4;3;31;6;3,94;103,23
31103;5;7;3;1;2;1;0;3;2;35;9;2,92;81,43
31104;9;4;3;1;5;1;0;3;4;30;20,41;3,78;95
31106;8;1;3;1;4;1;0;4;4;65;52,81;3,63;58,46
31108;6;16;3;4;2;1;0;2;2;36;13,82;3,93;63,89
31109;8;13;3;4;1;1;0;2;1;62;16;2,88;59,68
31114;6;17;2;1;5;2;0;6;3;60;25,45;3,08;129,17
31115;9;3;3;1;6;1;0;4;6;36;28,59;2,44;81,94
31116;9;9;2;1;6;2;1;4;6;55;9,17;6;163,64
31117;9;5;3;1;4;1;0;4;2;54;22,09;3,65;56,48
31118;6;10;2;4;6;1;1;6;6;40;10;3,66;140
31120;9;3;2;1;4;1;0;4;3;45;30,81;3,17;61,11
31123;6;3;3;1;5;1;0;4;4;45;7;3,74;73,33
31124;4;1;3;1;1;1;0;3;1;37;10;3,74;108,11
31126;8;9;2;1;5;2;0;3;5;30;5;2,6;103,33
31129;8;2;3;4;2;1;0;3;3;33;4,71;7;77,27
31131;10;10;3;1;4;1;0;3;3;33;22,8;2,64;46,36
31136;6;7;3;1;5;1;0;4;3;42;11;3,31;90,48
31137;12;4;3;1;8;1;0;7;7;54;11;5;127,78
31139;4;9;2;1;5;2;0;4;5;40;10,5;3,96;87,5
31141;28;10;3;1;5;2;0;4;5;45;11;2,05;52,89
31143;11;2;3;1;5;2;0;4;5;40;10;2,45;67,5
31144;10;14;2;1;4;1;1;3;4;32;19,02;3,61;74,69
31145;5;5;3;1;4;1;1;3;3;50;19,39;3,14;80
31146;10;11;3;1;4;1;0;3;4;32;21,01;2,39;42,19
31148;6;13;3;4;3;1;0;4;4;68;30,59;3,59;97,06
31151;7;6;2;1;5;1;0;4;5;42;11;3,9;91,67
31153;5;7;2;1;4;1;1;4;3;60;11;3,91;250
31154;8;11;3;1;4;1;0;4;3;33;10;3,91;60,61
31156;7;5;3;1;5;1;0;4;3;39;10;3,69;78,97
31158;6;7;3;1;4;1;1;4;4;50;30,76;3,58;80
31159;10;6;2;1;5;2;0;4;3;33;8,25;3,73;96,97
31161;9;5;4;1;5;1;0;6;5;44;11;3,64;152,27
31163;5;8;3;1;4;1;1;4;4;54;11;2,93;59,26
31164;9;5;3;1;1;1;0;3;1;32;6;2,8;81,25
31165;6;10;3;1;3;1;0;5;2;70;8,75;8;71,43
31168;9;5;3;1;4;1;0;4;3;44;11;3,12;104,55
31169;6;2;3;4;1;1;0;2;1;37;16,98;3,85;62,16
31172;6;9;3;2;1;1;0;3;1;29;7;2,44;79,31
31177;6;7;4;1;4;1;0;4;3;40;33,54;3,06;220
31178;9;4;3;1;4;1;1;4;4;65;10,83;6;72,31
31181;7;20;3;1;1;1;0;3;1;38;9;3,89;86,84
31183;10;7;2;1;3;1;1;5;2;56;11;3,56;119,64
31185;5;6;2;1;1;1;1;2;1;51;18,42;3,8;103,92
31191;4;6;2;1;5;1;1;4;4;42;24,31;2,24;152,38
31192;4;10;3;4;1;1;0;1;1;50;45,62;3,12;31
31195;6;13;4;4;6;2;0;6;6;48;14;5;134,38
31196;9;5;3;1;6;1;0;5;5;43;11;3,65;174,42
31199;6;17;3;1;8;1;1;8;6;53;21,07;4;256,6
31200;7;20;3;1;5;2;1;5;3;50;36,93;3,87;80
31203;8;13;3;1;1;1;1;2;1;50;21,58;2,42;42
31204;1;3;3;1;4;1;0;2;4;24;7;3,67;123,33
31205;6;2;2;4;6;1;1;6;6;120;18;7;245,83
31209;11;3;2;1;3;1;0;3;4;46;11,5;3,42;54,35
31211;1;6;3;1;4;1;0;3;2;60;35,47;3,1;115
31216;8;2;3;1;4;1;0;4;2;38;16,64;3,23;69,74
31223;7;17;3;1;5;2;0;6;4;45;38,87;3,54;82,22
31227;8;5;3;1;5;2;0;3;4;42;22,14;2,97;102,38
31230;1;4;3;1;5;2;0;4;5;56;10,57;5,3;89,29
31231;4;1;3;1;4;1;0;4;3;44;11;3,51;105,68
31235;9;6;2;1;3;1;0;3;4;32;14,79;2,95;124,69
31236;6;6;2;1;7;1;1;7;5;40;9;3,75;322,5
31240;12;8;2;1;4;1;0;5;4;39;13;3,6;61,54
31241;10;17;3;1;3;1;0;3;3;47;10;3,85;62,77
31243;10;16;3;1;4;1;0;3;2;35;10;3,07;51,14
31247;5;4;2;1;4;1;1;4;2;77;26,33;2,57;151,95
31248;6;14;3;1;4;1;0;2;3;20;5;3,93;70
31251;9;5;3;1;2;1;0;2;4;40;23,44;2,7;65
31252;6;7;3;1;4;1;0;4;2;80;20;3,61;53,75
31255;10;9;3;4;4;1;0;4;3;63;19;3,78;61,9
31256;3;1;3;4;1;1;0;3;1;40;20,63;3,72;74,5
31260;27;3;2;1;3;1;0;2;3;55;12;2,38;34,91
31262;9;4;3;1;6;1;0;3;4;30;15,99;3,69;90
31263;6;12;3;1;5;2;1;5;3;69;13,8;5;82,16
31264;6;10;1;1;3;1;2;5;4;69;8,63;8;72,46
31266;7;6;3;1;2;1;0;2;3;60;25,81;3,99;82,5
31269;6;15;3;1;4;1;0;2;3;43;10;3,37;97,67
31270;7;17;2;1;5;2;1;5;3;40;33,07;3,12;92,5
31271;6;7;3;4;5;2;0;5;4;80;11,43;7;147,5
31272;9;4;3;1;4;1;0;5;2;22;7;3,56;121,82
31273;5;1;3;1;4;1;0;4;2;42;24,27;3,9;88,1
31277;8;8;3;1;1;1;0;2;1;95;14;7;66,32
31280;3;1;2;1;3;1;1;1;4;36;13;3,24;158,33
31284;10;13;2;4;2;1;1;3;3;61;12,2;5;95,08
31286;10;2;3;1;4;1;0;4;3;36;15,31;3,86;50,56
31288;9;5;3;1;6;2;0;5;6;39;11;3,67;98,72
31292;5;4;3;1;4;1;0;4;4;51;13;3,5;71,57
31296;5;7;3;1;5;2;1;4;5;51;10;3,85;99,02
31297;8;6;2;1;2;1;0;1;4;60;29,4;3,61;55
31299;9;5;3;1;6;2;0;4;6;35;26,65;3,88;134,29
31301;7;18;3;1;4;1;1;6;2;56;31,52;3,32;232,14
31303;28;10;3;4;1;1;1;1;1;60;15;3,97;43,33
31307;9;5;3;1;5;1;0;4;4;60;8,57;7;126,67
31309;8;4;3;1;5;1;0;3;4;37;28,35;3,27;74,32
31312;11;10;3;1;1;1;1;1;1;124;13;9;26,61
31313;1;6;3;1;5;1;0;6;4;45;19,98;2,35;266,67
31314;4;8;2;1;4;1;0;4;3;42;9;3,18;83,33
31316;10;6;3;1;4;1;0;4;2;33;8,5;3,49;78,79
31320;10;6;3;1;5;1;0;4;3;33;9;3,13;68,18
31322;1;5;2;1;3;1;0;5;4;94;14;7;190,43
31323;6;5;3;1;5;2;0;3;3;32;8;3,92;85,94
31324;6;8;3;1;3;1;0;2;2;30;15,6;3,55;73,33
31327;9;1;1;1;5;1;2;5;4;156;21;7;128,21
31329;8;2;3;1;6;2;0;4;5;41;10;3,32;58,05
31330;28;10;3;1;4;1;0;4;3;40;10;3,63;58,75
31334;6;11;2;4;5;2;0;4;5;38;10;3,12;218,42
31335;10;14;3;1;4;1;0;4;4;42;11,2;2,36;76,19
31337;9;10;4;1;5;2;1;5;3;108;21;5;120,37
31341;5;7;3;1;5;1;0;6;3;55;12;3,63;127,27
31342;7;19;2;4;2;1;0;3;2;20;5;3,91;57,5
31344;10;4;3;4;1;1;0;3;1;60;6;10;46,33
31345;9;4;3;1;5;1;1;6;4;55;36,04;3,89;114,55
31352;9;10;2;4;4;1;1;5;2;43;30,44;3,17;125,58
31354;9;3;3;1;4;1;0;4;3;46;17,27;2,45;195,65
31355;9;6;3;1;5;1;0;3;4;35;7;3,92;79,71
31358;3;7;2;4;5;2;0;4;5;71;11,53;6,16;124,65
31362;10;10;3;1;3;1;1;3;3;50;17,51;3,66;33,6
31366;6;2;3;1;4;1;0;4;2;42;14;3,96;76,19
31370;7;20;2;4;4;1;1;6;4;70;3,5;20;164,29
31373;10;14;2;1;1;1;0;3;1;33;26,12;3,65;85,76
31375;9;8;3;1;4;1;0;4;3;43;20,07;2,6;91,86
31379;19;2;3;1;1;1;0;3;1;120;8;3,96;11,67
31380;10;6;3;4;1;1;0;3;1;31;10,57;3,81;75,81
31381;5;4;3;1;5;1;0;5;5;41;7;6;136,59
31382;10;10;3;1;4;1;0;4;2;38;17,04;3,8;45,53
31383;1;3;3;1;2;1;0;3;3;27;9;3,43;92,59
31384;10;14;3;1;5;2;0;3;3;36;9;3,73;55,56
31385;10;6;3;1;4;1;0;4;2;36;10;3,73;66,67
31386;9;6;3;1;5;2;0;4;3;35;13,53;3,92;84,29
31394;7;17;3;4;1;1;0;2;1;25;11;3,7;92
31395;4;13;2;1;1;1;0;2;1;58;10;6;56,9
31397;6;17;3;1;4;1;0;4;2;34;11;3,11;111,76
31400;7;6;3;1;4;1;0;2;4;30;24,53;3,76;80
31403;9;5;3;1;4;1;0;4;2;65;12;7;100
31404;2;6;2;1;2;1;1;1;4;52;26,73;3,44;211,54
31410;12;3;3;1;4;1;0;4;2;32;10,67;3,35;123,44
31418;18;1;2;4;2;1;1;3;2;90;18;5;70
31419;19;12;3;1;4;1;0;3;2;31;7;3,39;56,45
31420;9;5;3;1;6;2;0;3;4;26;12,83;2,3;103,85
31421;6;6;3;1;2;1;1;3;2;50;12;2,43;172
31422;10;5;2;1;4;1;1;4;3;35;10;3,31;80
31423;2;3;2;1;4;1;1;4;3;76;26,85;2,81;144,74
31424;9;6;3;1;7;2;0;3;7;30;22,91;3,9;128,33
31426;3;7;3;1;5;2;0;5;3;35;25,81;3,85;128,57
31427;10;6;3;1;4;1;0;4;2;40;15,85;3,92;86,25
31430;5;2;3;1;4;1;0;4;3;38;9;3,53;102,63
31432;10;16;3;1;4;1;0;3;4;33;9;2,57;44,24
31435;8;3;2;1;5;1;1;3;5;33;9;2,96;104,55
31437;9;5;3;4;6;2;0;4;5;30;9;3,46;90
31440;1;3;3;1;5;1;0;3;5;22;5;3,59;102,27
31445;10;14;3;4;3;1;0;4;4;40;24,37;3,67;88,75
31449;5;4;3;1;5;2;0;6;4;80;15;5;100
31450;8;1;3;1;4;1;0;3;3;24;9,14;3,31;58,33
31451;1;7;3;1;5;1;0;3;3;32;23,89;3,7;103,13
31452;3;4;3;1;6;1;0;4;4;41;18,01;3,49;112,2
31455;3;7;3;4;1;1;0;3;1;30;10;3,95;87,67
31457;2;15;2;1;3;1;0;3;3;75;72,86;2,38;146,67
31460;6;3;2;1;5;1;0;4;4;35;14,04;2,29;237,14
31462;19;8;3;4;1;1;0;3;1;33;11;3,09;49,09
31463;6;10;2;1;4;1;1;3;2;70;17;3,94;278,57
31465;8;14;1;4;4;1;2;5;2;250;21;9;67,6
31466;8;3;3;4;5;1;0;4;4;44;19,58;3,79;84,09
31475;10;17;2;1;4;1;1;4;2;28;8;2,5;105,36
31477;1;7;3;1;5;2;0;3;5;20;6;3,24;82,5
31478;8;2;3;1;4;1;1;4;2;66;22,58;3,2;48,18
31484;6;8;3;1;8;2;1;8;7;55;25,09;2,45;247,27
31491;7;4;3;1;3;1;0;2;4;17;5,7;2,97;120,59
31493;8;13;3;4;3;1;0;5;2;35;16,2;2,29;77,14
31495;11;7;3;4;2;1;0;3;3;40;6,67;6;91,25
31496;3;6;2;1;3;1;1;2;4;30;15,33;3,86;180
31497;9;5;3;1;5;2;0;6;5;45;19,61;3,27;148,89
31498;7;2;2;4;5;1;0;6;5;60;52,98;3,66;241,67
31500;10;16;3;1;3;1;0;3;4;35;10;2,57;46
31502;5;8;3;4;5;1;0;4;4;37;9;3,6;124,32
31504;5;1;3;1;4;1;0;4;3;35;9;3,73;156,86
31507;8;11;2;1;6;2;1;6;5;35;10;3,85;80
31508;1;4;3;1;4;1;0;4;2;37;13,48;3,17;104,05
31517;10;10;3;1;4;1;1;4;2;50;21,64;3,69;34
31518;9;5;4;1;4;1;1;5;3;75;15;5;77,33
31519;7;9;2;1;5;2;1;7;5;78;15,6;5;179,49
31521;11;12;3;1;5;1;0;3;4;43;10,75;3;62,79
31522;6;13;3;1;1;1;0;3;1;32;13,98;3,7;120,31
31529;10;6;3;1;5;2;0;3;4;33;13,96;3,48;69,7
31532;10;2;3;1;4;1;0;3;3;30;8;3,94;60
31535;10;3;3;1;4;1;0;3;4;34;10;2,68;39,71
31540;6;3;3;1;5;1;0;3;3;30;11,16;3,35;66,67
31544;10;10;3;1;4;1;0;3;3;32;10;3,68;46,88
31553;10;2;3;1;5;2;0;3;3;33;9;2,48;74,24
31554;6;9;3;1;5;2;0;3;4;50;10;2,86;114
31565;6;1;3;1;4;1;0;3;2;31;16,48;3,84;183,87
31569;9;4;2;1;5;1;1;4;3;41;23,08;3,62;175,61
31572;10;6;3;1;1;1;0;3;1;40;10;3,8;92,75
31576;6;3;3;4;6;1;0;4;4;42;15,14;3,68;122,62
31582;9;3;3;1;4;1;0;4;3;68;44,56;3,36;55,15
31585;7;16;3;4;1;1;0;3;1;36;5;7;104,17
31587;1;13;3;1;5;1;0;6;3;62;8,86;7;100
31590;5;6;3;1;5;1;0;4;4;35;8;2,31;107,14
31596;10;11;3;1;2;1;1;3;3;50;12;3,57;34
31597;5;8;3;1;5;2;0;4;3;70;10;7;65,71
31599;28;10;3;1;6;2;0;4;4;43;11;3,52;55,81
31600;5;3;3;1;5;1;0;4;4;40;8;2,35;105
31603;6;6;2;1;5;2;1;4;5;36;12,58;3,39;205,56
31610;5;2;3;1;6;2;0;4;5;36;5;7;180,56
31617;7;6;3;1;5;2;0;4;4;32;8;3,83;90,63
31621;9;4;3;1;6;2;0;3;6;20;6;3,59;135
31624;6;15;3;1;4;1;1;4;4;65;22,61;3,68;87,69
31631;4;6;2;4;3;1;1;4;2;59;15;3,21;93,05
31639;8;2;2;1;4;1;1;4;2;47;16,39;3,82;78,72
31645;7;18;2;1;2;1;0;2;3;68;23,6;3,37;213,24
31646;4;8;3;1;5;1;0;3;5;32;8,6;3,69;92,19
31652;1;5;2;1;5;2;0;4;5;60;8,5;7;133,33
31653;10;9;4;1;4;1;0;4;4;90;60,49;3,97;75
31658;28;10;3;4;1;1;1;3;1;60;14;2,91;47,5
31659;5;7;3;1;5;1;1;4;4;55;27,33;2,66;121,45
31663;12;9;4;1;4;1;0;5;2;42;11;3,71;123,81
31665;10;9;4;1;5;2;1;5;3;115;8,5;15;82,61
31673;10;14;2;1;4;1;1;4;4;40;10;3,55;87,5
31677;10;15;3;1;5;2;0;4;5;35;17,93;3,27;75,71
31683;3;2;3;3;2;1;0;2;2;40;9;3,57;40,75
31684;4;13;2;1;5;1;1;3;5;45;9;3,99;77,78
31689;8;6;3;4;6;2;0;4;5;27;11,86;3,21;55,19
31701;10;9;2;1;4;1;0;4;2;43;26,63;2,74;104,65
31703;8;3;2;4;2;1;0;3;2;84;14;6;102,38
31704;9;6;3;1;4;1;0;3;2;28;9,78;3,39;83,93
31707;3;1;3;1;1;1;0;3;1;40;8;3,76;115
31710;7;6;3;1;5;2;0;6;5;250;13;3,92;27,2
31712;9;11;2;1;5;2;1;4;4;25;6;3,48;68
31718;10;14;2;4;2;1;1;3;3;30;8;2,88;73,33
31721;10;15;2;1;5;2;1;3;3;65;31,35;3,11;223,08
31722;12;4;4;1;3;1;1;5;4;60;12;5;183,33
31727;8;5;3;1;2;1;1;2;2;56;11,2;5;60,71
31729;6;18;3;1;3;1;0;2;4;25;12,19;3,99;90
31730;7;3;3;4;1;1;0;2;1;29;10;2,91;56,9
31732;9;5;3;4;1;1;0;3;1;23;6;2,55;117,39
31734;7;8;3;1;1;1;0;3;1;45;14;3,45;93,33
31738;6;3;2;1;1;1;0;3;1;30;14,72;3,15;96,67
31746;6;2;3;1;4;1;0;2;3;20;8;3,29;95
31748;7;18;2;1;2;1;0;3;2;56;14;3,73;73,21
31750;9;5;3;1;1;1;0;3;1;30;6;2,53;108,33
31753;9;4;3;1;4;1;0;4;3;52;13;3,8;84,62
31755;11;2;3;1;5;1;0;4;4;43;12,29;3,99;60,23
31756;28;6;3;1;1;1;0;2;1;45;10;3,09;31,11
31757;3;1;3;1;5;2;0;3;4;32;11,83;3,46;93,75
31758;8;2;3;1;3;1;0;4;4;30;7;3,49;75
31759;7;3;3;1;2;1;0;2;4;29;10;3,62;56,9
31760;9;3;3;1;5;1;1;4;5;50;10;3,7;80
31761;9;3;3;1;5;1;1;6;5;47;8;3,8;63,83
31762;4;1;3;1;5;1;0;4;5;42;25,35;3,54;130,95
31764;7;2;3;1;5;1;0;3;5;45;42,1;3,44;66,67
31767;9;9;3;4;6;1;1;4;6;56;9,33;6;98,21
31768;6;5;3;1;5;2;0;4;5;40;32,33;3,82;80
31769;8;9;3;1;6;1;0;4;6;42;21,47;3,74;111,9
31770;10;15;3;1;5;1;0;4;4;38;9;2,25;96,05
31773;8;8;3;1;3;1;0;4;4;70;12;36;47,14
31774;3;4;3;4;4;1;0;4;2;72;11,61;6,2;58,33
31775;8;11;3;1;4;1;0;4;3;42;14,74;3,89;64,29
31777;7;8;2;1;6;2;0;10;6;60;15;3,08;98,33
31779;4;1;2;1;4;1;0;5;4;44;11;3,94;105,68
31780;9;5;2;1;3;1;1;6;4;50;23,06;2,7;90
31782;10;13;2;1;4;1;0;4;2;52;10;3,1;32,69
31783;1;3;3;4;4;1;1;4;2;80;36,14;3,42;67,5
31788;9;5;3;1;3;1;0;2;4;20;7;2,45;96
31789;3;1;3;1;5;2;0;3;5;33;12,6;2,48;92,42
31791;6;20;3;1;2;1;0;2;4;36;13,09;3,4;66,39
31793;3;7;3;1;4;1;1;4;4;55;11;3,89;88,18
31800;4;8;3;4;2;1;0;3;4;36;12,85;3,59;94,44
31801;7;18;2;1;2;1;1;2;3;67;18;3,79;216,42
31803;9;6;4;4;5;1;0;8;5;72;14,4;5;208,33
31805;6;1;3;1;2;1;0;2;3;38;29,69;3,93;61,84
31806;4;4;2;4;4;1;1;4;2;97;22;3,71;164,95
31810;5;7;3;1;5;1;0;6;3;50;10;3,59;100
31811;8;11;3;1;4;1;0;3;4;42;16,83;3,6;64,29
31812;8;6;3;1;1;1;1;3;1;64;54,51;3,92;35,94
31813;1;13;2;1;2;1;0;3;4;40;10;3,54;195
31814;8;9;3;4;4;1;0;4;4;50;10;3,89;94
31816;7;6;3;1;5;2;0;5;3;43;18,66;2,05;87,21
31820;3;1;3;1;4;1;0;4;2;40;8;3,82;112,5
31826;9;5;3;1;4;1;0;5;4;54;14;3,93;91,67
31829;1;1;3;1;3;1;0;3;3;32;5,5;6;120,31
31830;8;8;3;1;5;2;0;3;5;40;14,79;2,46;60
31831;8;2;3;1;5;2;1;8;3;69;13,8;5;50,72
31833;1;3;3;1;3;1;0;4;2;40;17,35;3,66;112,5
31837;10;13;2;1;6;1;1;4;4;44;11;2,74;102,27
31839;5;6;2;1;3;1;0;5;2;50;15;3,13;170
31844;1;1;3;1;4;1;0;2;3;30;22,04;3,64;110
31847;5;8;3;1;1;1;0;3;1;45;7;6;122,22
31848;7;2;3;1;6;2;1;10;6;65;17;3,1;90,77
31851;6;5;3;4;3;1;0;4;4;35;21,04;3,55;97,14
31856;3;6;3;1;5;2;0;3;5;31;8;2,54;96,77
31861;6;17;3;1;5;1;0;3;4;13;6;3,91;120
31862;7;6;3;1;4;1;1;4;2;52;17,82;3,81;70,19
31863;8;4;4;4;5;1;0;4;5;45;11;3,06;95,56
31869;5;7;2;1;5;1;1;6;4;129;22;5;224,81
31871;1;6;3;1;4;1;0;2;2;38;23,47;3,58;97,37
31873;9;3;3;1;5;2;0;4;5;36;11;3,25;90,28
31877;10;14;2;1;5;1;1;4;3;40;10;3,95;87,5
31878;6;5;3;1;5;1;0;4;4;36;13,31;2,04;130,56
31880;8;2;3;1;4;1;0;4;3;42;14,11;3,65;77,38
31896;9;5;3;1;4;1;1;3;2;46;12;3,03;78,26
31897;10;5;3;4;2;1;0;2;2;30;10,65;3,67;56,67
31907;4;1;3;1;5;1;0;3;3;33;9;3,92;89,39
31910;7;6;3;1;1;1;0;3;1;25;7;3,6;72
31915;6;2;2;1;8;1;0;8;6;90;15;6;140
31921;7;6;3;1;4;1;0;2;3;25;8;3,91;64
31923;5;5;2;1;6;1;1;3;6;45;8;3,67;211,11
31934;12;4;3;1;5;2;0;3;3;35;7;2,92;87,14
31947;8;3;3;1;5;2;0;3;3;35;16,29;3,83;65,71
31950;6;2;3;1;4;1;0;4;3;44;29,38;3,9;72,73
31955;9;6;3;1;4;1;0;3;4;43;9;2,9;89,53
31959;3;1;3;1;4;1;0;4;2;38;21,15;3,79;102,63
31961;9;3;3;4;1;1;1;3;1;55;12;2,97;83,64
31962;6;18;3;1;4;1;0;3;4;25;12,93;2,91;84
31963;6;4;3;4;2;1;0;3;3;23;8;2,47;91,3
31968;6;2;3;1;5;2;0;8;4;70;9;8;71,43
31969;6;12;3;1;5;1;0;4;5;60;12;5;98,33
31974;6;9;3;1;5;2;1;3;5;50;8,33;6;116
31975;12;4;2;1;5;1;0;7;5;68;14;5;151,47
31976;6;5;3;4;4;1;0;4;4;81;20;3,57;88,89
31981;7;6;3;4;4;1;0;4;4;48;39,75;3,63;95,83
31984;6;12;3;1;3;1;0;4;2;41;16,1;3,74;87,8
31986;5;3;2;1;4;1;1;4;2;22;5;3,7;179,55
31987;12;4;3;4;6;1;0;5;5;29;8,06;3,34;72,41
31988;5;2;2;1;2;1;1;4;2;57;24,13;2,67;57,89
31993;5;8;2;1;5;1;1;6;5;62;12;5;120,97
31994;3;7;4;4;3;1;1;4;3;80;16;5;181,25
31995;4;12;3;1;5;1;0;3;5;30;8;3,86;75
31996;1;9;2;1;2;1;1;3;4;62;10,33;6;185,48
31998;6;4;3;4;2;1;0;3;4;17;6,89;3,82;105,88
31999;10;16;3;1;5;2;0;4;5;35;10;3,05;44,29
32001;1;13;3;4;2;1;1;2;4;130;17;7;80
32004;8;1;3;1;3;1;0;2;2;42;11;3,73;78,57
32005;10;5;3;1;5;1;0;4;4;38;13,67;3,29;60,53
32007;5;8;4;4;3;1;1;5;3;65;13;5;115,38
32012;6;10;3;1;3;1;0;2;3;34;13,11;3,05;102,94
32014;8;6;3;1;5;2;0;3;4;31;10;3,82;80,65
32015;19;8;3;4;5;2;0;4;4;35;10;3,93;70
32016;8;10;3;1;5;2;0;6;3;36;12,77;2,51;79,17
32017;9;3;3;4;6;2;0;4;5;41;10;3,95;90,24
32018;10;10;2;1;5;2;0;5;3;70;14;5;77,14
32021;5;5;3;4;4;1;0;4;3;30;6;3,67;153,33
32022;6;15;3;1;6;2;0;4;6;41;10;3,16;112,2
32025;1;5;2;1;4;1;0;4;4;45;15;3,75;107,78
32027;9;11;2;1;5;1;1;5;4;28;5;7;89,29
32029;3;6;3;1;5;1;0;6;5;55;6,88;8;69,09
32030;4;6;2;1;4;1;0;4;2;142;14;10;95,07
32033;6;10;3;4;1;1;0;2;1;33;26,96;3,47;84,85
32035;9;3;3;1;5;1;1;6;4;55;16;3,93;105,27
32038;18;1;2;1;3;1;0;6;2;75;8,33;9;67,33
32039;7;8;2;1;5;1;0;5;3;45;9;3,77;84,44
32045;10;10;3;1;4;1;0;3;2;31;8;3,58;48,39
32048;27;3;3;1;3;1;0;3;3;40;10;3,86;39
32055;6;4;3;1;3;1;0;2;4;25;15,34;3,66;72
32056;19;8;3;4;2;1;1;1;4;50;10;2,32;33
32061;9;9;3;1;5;2;0;4;3;40;16,31;2,78;132,5
32063;10;7;2;1;4;1;1;5;3;47;11;2,82;89,36
32065;9;5;3;4;4;1;0;4;4;71;15;3,67;72,54
32069;6;17;2;1;2;1;1;3;3;70;43,56;2,89;128,57
32070;11;1;3;1;5;1;0;4;4;43;11;3,73;60,47
32073;7;2;3;4;6;1;0;8;6;60;15;2,4;191,67
32076;1;5;3;1;5;2;0;3;4;23;6;2,95;106,52
32078;11;12;3;4;4;1;0;4;2;31;9;3,7;106,45
32080;10;9;4;1;5;2;1;4;3;90;16;5;61,11
32083;3;8;3;1;4;1;0;3;3;25;12,35;3,46;102
32085;1;11;3;1;3;1;0;3;3;42;7;6;73,81
32092;1;3;3;4;5;2;0;5;5;34;19,82;3,4;102,94
32093;1;7;2;1;4;1;0;2;2;30;7;2,93;66,67
32095;7;3;3;1;4;1;0;3;4;29;10,32;3,38;103,1
32096;1;3;3;1;5;1;0;4;3;37;18,01;3,81;132,43
32099;7;10;2;1;3;1;0;5;3;136;11;12;212,5
32106;1;5;3;4;4;1;0;2;4;23;19,24;3,87;80,43
32108;8;3;3;1;6;1;0;4;6;38;7;3,87;90,79
32111;10;16;3;1;4;1;0;3;4;34;8,5;3,68;40,59
32112;6;6;2;1;4;1;1;4;4;81;18;2,44;259,26
32113;9;8;3;1;5;1;0;3;3;28;7;3,86;83,93
